country,0,1,2,3,4,5,6,7,8,c1,c2
Austria,0.1671999990940094,0.42250001430511475,0.41029998660087585,0.06520000100135803,0.024399999529123306,0.9103999733924866,0.19689999520778656,0.5874000191688538,0.21570000052452087,-7.4231677,6.14918
Belgium,0.07320000231266022,0.5149999856948853,0.41179999709129333,0.017400000244379044,0.01850000023841858,0.9641000032424927,0.10859999805688858,0.7529000043869019,0.13850000500679016,-3.2729194,6.471239
Bulgaria,0.13899999856948853,0.7953000068664551,0.065700002014637,0.7064999938011169,0.06840000301599503,0.22509999573230743,0.08429999649524689,0.8651999831199646,0.05050000175833702,4.642535,7.733844
Czechia,0.27570000290870667,0.6230999827384949,0.10119999945163727,0.8256000280380249,0.06639999896287918,0.10809999704360962,0.14880000054836273,0.7767999768257141,0.07440000027418137,-2.1030288,9.338636
Cyprus,0.39149999618530273,0.4018999934196472,0.20649999380111694,0.4975000023841858,0.16519999504089355,0.33730000257492065,0.21860000491142273,0.6784999966621399,0.10300000011920929,-7.6787887,8.276478
Germany,0.15150000154972076,0.5827999711036682,0.26570001244544983,0.0812000036239624,0.042500000447034836,0.8762999773025513,0.13279999792575836,0.7296000123023987,0.13770000636577606,-4.1847334,7.123265
Denmark,0.11320000141859055,0.5055000185966492,0.3813000023365021,0.19130000472068787,0.19460000097751617,0.6141999959945679,0.10840000212192535,0.7960000038146973,0.09560000151395798,0.18313068,8.07671
Estonia,0.20270000398159027,0.5454000234603882,0.25189998745918274,0.326200008392334,0.09099999815225601,0.5827999711036682,0.11050000041723251,0.7669000029563904,0.1225999966263771,-2.376934,6.846719
Croatia,0.3334999978542328,0.536899983882904,0.12960000336170197,0.8956000208854675,0.023800000548362732,0.08060000091791153,0.21709999442100525,0.6353999972343445,0.14749999344348907,-7.307142,7.2394795
Finland,0.16349999606609344,0.6941999793052673,0.14229999482631683,0.19769999384880066,0.22930000722408295,0.5728999972343445,0.10740000009536743,0.7893000245094299,0.10329999774694443,-0.9267424,7.1460676
France,0.12049999833106995,0.6798999905586243,0.1995999962091446,0.10520000010728836,0.10180000215768814,0.7929999828338623,0.03720000013709068,0.4659999907016754,0.4968000054359436,-6.7375774,5.5935736
Malta,0.2563000023365021,0.5296000242233276,0.21410000324249268,0.475600004196167,0.17900000512599945,0.34540000557899475,0.10029999911785126,0.7996000051498413,0.10010000318288803,0.13968594,6.5193386
Luxembourg,0.1762000024318695,0.6280999779701233,0.195700004696846,0.055399999022483826,0.028999999165534973,0.9156000018119812,0.1657000035047531,0.6636000275611877,0.17059999704360962,-6.4230595,7.2273474
Lithuania,0.41100001335144043,0.47609999775886536,0.11289999634027481,0.48399999737739563,0.03779999911785126,0.4781999886035919,0.07689999788999557,0.8704000115394592,0.05270000174641609,5.322058,7.067318
Italy,0.19259999692440033,0.5770000219345093,0.2304999977350235,0.19300000369548798,0.0617000013589859,0.7452999949455261,0.14149999618530273,0.7526000142097473,0.10580000281333923,-3.1687496,8.09761
Ireland,0.18150000274181366,0.5091999769210815,0.3093000054359436,0.09619999676942825,0.03009999915957451,0.8736000061035156,0.094200000166893,0.8054999709129333,0.10029999911785126,0.9891952,7.042798
Hungary,0.31439998745918274,0.5055000185966492,0.18019999563694,0.6209999918937683,0.08100000023841858,0.2980000078678131,0.07859999686479568,0.85589998960495,0.06549999862909317,3.996991,6.960491
Spain,0.335999995470047,0.2766000032424927,0.38749998807907104,0.2004999965429306,0.06530000269412994,0.7342000007629395,0.10329999774694443,0.7971000075340271,0.09960000216960907,-0.08861339,7.2947364
Netherlands,0.09870000183582306,0.20069999992847443,0.7006999850273132,0.1005999967455864,0.08250000327825546,0.8167999982833862,0.07050000131130219,0.829200029373169,0.10040000081062317,2.4335768,6.280373
Poland,0.3937000036239624,0.4562999904155731,0.1500999927520752,0.7527999877929688,0.03319999948143959,0.21400000154972076,0.11060000211000443,0.8341000080108643,0.05530000105500221,3.3037977,8.233315
Portugal,0.38940000534057617,0.31349998712539673,0.2971000075340271,0.33500000834465027,0.023900000378489494,0.6410999894142151,0.19589999318122864,0.6794999837875366,0.12460000067949295,-6.2143464,8.073552
Romania,0.17059999704360962,0.711899995803833,0.11739999800920486,0.5547000169754028,0.0617000013589859,0.38359999656677246,0.09200000017881393,0.8314999938011169,0.07649999856948853,2.921719,7.43473
Sweden,0.1306000053882599,0.7231000065803528,0.14630000293254852,0.08829999715089798,0.04360000044107437,0.8680999875068665,0.06520000100135803,0.8694999814033508,0.06539999693632126,4.713177,6.119834
Slovenia,0.3944000005722046,0.4447999894618988,0.1607999950647354,0.6007000207901001,0.07199999690055847,0.3273000121116638,0.11869999766349792,0.7944999933242798,0.0868000015616417,-0.604023,8.404191
Slovakia,0.26409998536109924,0.5950999855995178,0.14079999923706055,0.8718000054359436,0.06469999998807907,0.06350000202655792,0.13529999554157257,0.7874000072479248,0.07720000296831131,-1.1911001,9.252161
