country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,c1,c2
Austria,0.07699999958276749,0.4659999907016754,0.09839999675750732,0.08209999650716782,0.07689999788999557,0.1324000060558319,0.06719999760389328,0.020899999886751175,0.8450999855995178,0.03060000017285347,0.018799999728798866,0.02410000003874302,0.03799999877810478,0.022600000724196434,0.2556000053882599,0.2134999930858612,0.0714000016450882,0.19339999556541443,0.04780000075697899,0.05460000038146973,0.16359999775886536,11.245739,14.671125
Belgium,0.07720000296831131,0.10620000213384628,0.10459999740123749,0.1265999972820282,0.10490000247955322,0.367000013589859,0.11349999904632568,0.026799999177455902,0.025200000032782555,0.03009999915957451,0.023600000888109207,0.022099999710917473,0.8481000065803528,0.02419999986886978,0.131400004029274,0.09529999643564224,0.10869999974966049,0.188400000333786,0.09719999879598618,0.2750999927520752,0.10379999876022339,-19.60023,24.409735
Bulgaria,0.1005999967455864,0.17419999837875366,0.12229999899864197,0.1136000007390976,0.20260000228881836,0.11150000244379044,0.17509999871253967,0.09019999951124191,0.19769999384880066,0.131400004029274,0.10620000213384628,0.17479999363422394,0.15600000321865082,0.14380000531673431,0.13500000536441803,0.07079999893903732,0.06930000334978104,0.49950000643730164,0.07259999960660934,0.07739999890327454,0.07540000230073929,-26.06457,-26.75446
Czechia,0.08799999952316284,0.09730000048875809,0.07930000126361847,0.12770000100135803,0.4104999899864197,0.0786999985575676,0.1185000017285347,0.05790000036358833,0.05260000005364418,0.0471000000834465,0.08100000023841858,0.6557999849319458,0.05380000174045563,0.051899999380111694,0.054999999701976776,0.025800000876188278,0.027300000190734863,0.8023999929428101,0.031099999323487282,0.028300000354647636,0.03009999915957451,-49.353966,-35.67071
Cyprus,0.06989999860525131,0.08959999680519104,0.0877000018954277,0.06419999897480011,0.14219999313354492,0.08709999918937683,0.4593000113964081,0.0560000017285347,0.1039000004529953,0.13359999656677246,0.061799999326467514,0.10050000250339508,0.33070001006126404,0.2134000062942505,0.24899999797344208,0.06909999996423721,0.06499999761581421,0.357699990272522,0.05950000137090683,0.062199998646974564,0.13760000467300415,1.3019091,-12.624534
Germany,0.08429999649524689,0.2093999981880188,0.16859999299049377,0.07270000129938126,0.16619999706745148,0.19689999520778656,0.10189999639987946,0.04149999842047691,0.12890000641345978,0.09350000321865082,0.026000000536441803,0.06289999932050705,0.5968999862670898,0.05040000006556511,0.3230000138282776,0.07509999722242355,0.07190000265836716,0.31459999084472656,0.05719999969005585,0.08860000222921371,0.06949999928474426,16.215841,-12.645002
Denmark,0.09969999641180038,0.1031000018119812,0.3790999948978424,0.09809999912977219,0.1143999993801117,0.09759999811649323,0.10790000110864639,0.07240000367164612,0.058400001376867294,0.6633999943733215,0.05249999836087227,0.04839999973773956,0.048700001090765,0.05609999969601631,0.1777999997138977,0.06949999928474426,0.09279999881982803,0.4595000147819519,0.05570000037550926,0.05460000038146973,0.09009999781847,-18.023142,-18.829735
Estonia,0.09009999781847,0.14030000567436218,0.1826999932527542,0.08749999850988388,0.24420000612735748,0.1111999973654747,0.14390000700950623,0.10050000250339508,0.10840000212192535,0.20679999887943268,0.0966000035405159,0.1949000060558319,0.1550000011920929,0.13779999315738678,0.6158999800682068,0.07970000058412552,0.05339999869465828,0.10220000147819519,0.04749999940395355,0.048500001430511475,0.05270000174641609,56.484726,-8.756401
Croatia,0.09449999779462814,0.1071000024676323,0.10890000313520432,0.12380000203847885,0.25769999623298645,0.12120000272989273,0.1868000030517578,0.04639999940991402,0.07519999891519547,0.09300000220537186,0.0794999971985817,0.2395000010728836,0.35040000081062317,0.11599999666213989,0.49790000915527344,0.051500000059604645,0.04230000078678131,0.2410999983549118,0.06159999966621399,0.04520000144839287,0.06040000170469284,42.552563,-15.658331
Finland,0.0940999984741211,0.1826000064611435,0.14350000023841858,0.10220000147819519,0.16769999265670776,0.1582999974489212,0.1517000049352646,0.0697999969124794,0.2304999977350235,0.12389999628067017,0.08330000191926956,0.11999999731779099,0.26260000467300415,0.11010000109672546,0.15719999372959137,0.10559999942779541,0.10100000351667404,0.290800005197525,0.10080000013113022,0.10429999977350235,0.14030000567436218,-2.3307965,5.16369
France,0.05550000071525574,0.1193000003695488,0.25519999861717224,0.049400001764297485,0.06800000369548798,0.38370001316070557,0.0689999982714653,0.052799999713897705,0.06560000032186508,0.5917999744415283,0.030799999833106995,0.0706000030040741,0.13729999959468842,0.051100000739097595,0.11469999700784683,0.14229999482631683,0.2493000030517578,0.11219999939203262,0.12280000001192093,0.1404000073671341,0.11819999665021896,-13.485891,37.60597
Malta,0.08950000256299973,0.14730000495910645,0.12210000306367874,0.11580000072717667,0.22660000622272491,0.12729999423027039,0.17139999568462372,0.07800000160932541,0.17229999601840973,0.1274999976158142,0.09830000251531601,0.2312999963760376,0.1527000069618225,0.13979999721050262,0.05860000103712082,0.07259999960660934,0.07930000126361847,0.5241000056266785,0.08990000188350677,0.09560000151395798,0.07989999651908875,-33.054413,-17.113152
