country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,c1,c2
Austria,0.0860000029206276,0.23070000112056732,0.1177000030875206,0.08940000087022781,0.1290999948978424,0.1509999930858612,0.0957999974489212,0.10040000081062317,0.031599998474121094,0.6353999972343445,0.055799998342990875,0.03180000185966492,0.062199998646974564,0.0949999988079071,0.04230000078678131,0.04600000008940697,0.1746000051498413,0.15129999816417694,0.08649999648332596,0.1469999998807907,0.08060000091791153,0.07999999821186066,0.10660000145435333,0.17350000143051147,-10.620583,-10.370699
Belgium,0.08330000191926956,0.10679999738931656,0.1039000004529953,0.11670000106096268,0.11079999804496765,0.257999986410141,0.11949999630451202,0.10109999775886536,0.029500000178813934,0.028999999165534973,0.0333000011742115,0.028200000524520874,0.029500000178813934,0.7893999814987183,0.030300000682473183,0.030899999663233757,0.13189999759197235,0.10530000180006027,0.11240000277757645,0.12939999997615814,0.10750000178813934,0.18860000371932983,0.11309999972581863,0.1120000034570694,-1.7662145,-17.686323
Bulgaria,0.10750000178813934,0.13809999823570251,0.11959999799728394,0.1185000017285347,0.1421000063419342,0.11270000040531158,0.14970000088214874,0.11180000007152557,0.0908999964594841,0.15309999883174896,0.12430000305175781,0.10520000010728836,0.13500000536441803,0.13269999623298645,0.14329999685287476,0.11550000309944153,0.18520000576972961,0.08590000122785568,0.08309999853372574,0.25029999017715454,0.08380000293254852,0.08889999985694885,0.09539999812841415,0.1273999959230423,-8.994709,-3.4332058
Czechia,0.08420000225305557,0.12610000371932983,0.10050000250339508,0.15489999949932098,0.1290999948978424,0.09709999710321426,0.15369999408721924,0.15459999442100525,0.05730000138282776,0.11710000038146973,0.08550000190734863,0.15600000321865082,0.164900004863739,0.10090000182390213,0.12049999833106995,0.19789999723434448,0.120899997651577,0.03999999910593033,0.040800001472234726,0.6044999957084656,0.039900001138448715,0.04270000010728836,0.04450000077486038,0.06679999828338623,6.8925934,-7.656292
Cyprus,0.08760000020265579,0.1185000017285347,0.1006999984383583,0.10859999805688858,0.14259999990463257,0.10419999808073044,0.23649999499320984,0.10119999945163727,0.07329999655485153,0.1436000019311905,0.12280000001192093,0.09459999948740005,0.14110000431537628,0.1770000010728836,0.16329999268054962,0.0843999981880188,0.29809999465942383,0.08460000157356262,0.08020000159740448,0.1678999960422516,0.08190000057220459,0.07970000058412552,0.0989999994635582,0.10859999805688858,-1.0091628,3.8216722
Germany,0.07989999651908875,0.15109999477863312,0.13359999656677246,0.09350000321865082,0.13130000233650208,0.15649999678134918,0.1356000006198883,0.11860000342130661,0.04470000043511391,0.1362999975681305,0.1145000010728836,0.044199999421834946,0.09380000084638596,0.3885999917984009,0.10209999978542328,0.07580000162124634,0.3073999881744385,0.07919999957084656,0.07970000058412552,0.15150000154972076,0.07069999724626541,0.09809999912977219,0.08500000089406967,0.1282999962568283,2.3362484,2.4730012
Denmark,0.10589999705553055,0.11649999767541885,0.1956000030040741,0.11400000005960464,0.11649999767541885,0.11379999667406082,0.12630000710487366,0.11150000244379044,0.07249999791383743,0.08810000121593475,0.4481000006198883,0.07000000029802322,0.07680000364780426,0.07670000195503235,0.07320000231266022,0.09470000118017197,0.2741999924182892,0.08460000157356262,0.09669999778270721,0.1914999932050705,0.07660000026226044,0.07590000331401825,0.0851999968290329,0.11540000140666962,-3.8128066,1.2293617
Estonia,0.08839999884366989,0.13910000026226044,0.13779999315738678,0.10989999771118164,0.13979999721050262,0.11349999904632568,0.16140000522136688,0.11010000109672546,0.09709999710321426,0.1274999976158142,0.1526000052690506,0.11150000244379044,0.12540000677108765,0.12929999828338623,0.14339999854564667,0.11320000141859055,0.375,0.07720000296831131,0.06949999928474426,0.09009999781847,0.06710000336170197,0.06419999897480011,0.06920000165700912,0.18770000338554382,1.7099628,12.417217
Croatia,0.09610000252723694,0.12290000170469284,0.11010000109672546,0.1340000033378601,0.14869999885559082,0.11270000040531158,0.16030000150203705,0.1151999980211258,0.06790000200271606,0.11270000040531158,0.12150000035762787,0.10689999908208847,0.1898999959230423,0.15520000457763672,0.1720000058412552,0.0738999992609024,0.4611999988555908,0.06769999861717224,0.055799998342990875,0.12309999763965607,0.06599999964237213,0.05719999969005585,0.06769999861717224,0.10140000283718109,8.401388,9.43658
Finland,0.10289999842643738,0.1387999951839447,0.12710000574588776,0.11469999700784683,0.13650000095367432,0.131400004029274,0.14090000092983246,0.10760000348091125,0.08219999819993973,0.15219999849796295,0.12520000338554382,0.09889999777078629,0.13809999823570251,0.17509999871253967,0.13220000267028809,0.09610000252723694,0.16329999268054962,0.10750000178813934,0.10570000112056732,0.16249999403953552,0.10760000348091125,0.10819999873638153,0.11940000206232071,0.1257999986410141,-6.350908,-8.55181
France,0.0649000033736229,0.11020000278949738,0.21480000019073486,0.06710000336170197,0.10329999774694443,0.2583000063896179,0.10939999669790268,0.07190000265836716,0.05559999868273735,0.07509999722242355,0.4115000069141388,0.04820000007748604,0.09189999848604202,0.15929999947547913,0.07370000332593918,0.08479999750852585,0.11010000109672546,0.12479999661445618,0.16369999945163727,0.11270000040531158,0.121799997985363,0.12960000336170197,0.1216999962925911,0.11550000309944153,-0.90277445,-13.8901
Malta,0.1031000018119812,0.13179999589920044,0.11999999731779099,0.12330000102519989,0.14149999618530273,0.11999999731779099,0.15160000324249268,0.10869999974966049,0.09040000289678574,0.14380000531673431,0.12530000507831573,0.11460000276565552,0.1459999978542328,0.13199999928474426,0.1429000049829483,0.10499999672174454,0.10540000349283218,0.0925000011920929,0.0869000032544136,0.32919999957084656,0.09369999915361404,0.09560000151395798,0.09960000216960907,0.09690000116825104,-13.817846,-2.5124228
Luxembourg,0.09799999743700027,0.13009999692440033,0.12839999794960022,0.11389999836683273,0.1354999989271164,0.1348000019788742,0.14180000126361847,0.11749999970197678,0.07460000365972519,0.1923999935388565,0.1396999955177307,0.08160000294446945,0.1420000046491623,0.15360000729560852,0.1168999969959259,0.09910000115633011,0.1446000039577484,0.12189999967813492,0.11050000041723251,0.15680000185966492,0.11699999868869781,0.11190000176429749,0.12520000338554382,0.11219999939203262,-3.7198844,-11.051841
