country,0,1,2,3,c1,c2
Austria,0.12700000405311584,0.08720000088214874,0.0949999988079071,0.6908000111579895,33.683155,-48.823154
Belgium,0.3691999912261963,0.09030000120401382,0.45350000262260437,0.0869000032544136,-12.017726,1.6238786
Bulgaria,0.13920000195503235,0.24959999322891235,0.09210000187158585,0.51910001039505,34.28223,-32.026985
Czechia,0.09459999948740005,0.7454000115394592,0.07240000367164612,0.08760000020265579,38.097168,16.830667
Cyprus,0.1371999979019165,0.13040000200271606,0.12449999898672104,0.6078000068664551,30.974205,-40.986515
Germany,0.11100000143051147,0.6055999994277954,0.17900000512599945,0.10429999977350235,39.519756,8.356044
Denmark,0.1054999977350235,0.10599999874830246,0.6714000105857849,0.11720000207424164,-18.923801,14.339609
Estonia,0.17900000512599945,0.31119999289512634,0.31189998984336853,0.1979999989271164,11.817641,0.4655733
Croatia,0.06870000064373016,0.08739999681711197,0.060499999672174454,0.7833999991416931,42.22551,-49.015297
Finland,0.14409999549388885,0.14820000529289246,0.5763999819755554,0.13130000233650208,-11.09507,11.16999
France,0.772599995136261,0.07159999758005142,0.07280000299215317,0.08299999684095383,-1.7509315,-31.87565
Malta,0.13619999587535858,0.49000000953674316,0.18299999833106995,0.1907999962568283,29.514381,8.952522
Luxembourg,0.18310000002384186,0.16699999570846558,0.4708000123500824,0.17910000681877136,-2.3258023,12.354568
Lithuania,0.20059999823570251,0.3765000104904175,0.18889999389648438,0.23389999568462372,23.423449,-3.3891401
Latvia,0.22130000591278076,0.3968999981880188,0.1941000074148178,0.18770000338554382,21.518993,4.2966347
Italy,0.18379999697208405,0.09149999916553497,0.07810000330209732,0.6466000080108643,39.57299,-40.487774
Ireland,0.12999999523162842,0.11580000072717667,0.629800021648407,0.12439999729394913,-9.138773,19.459784
Hungary,0.23019999265670776,0.3246000111103058,0.1599999964237213,0.28519999980926514,19.558327,-11.217884
Greece,0.2581000030040741,0.2703000009059906,0.16459999978542328,0.3070000112056732,27.662313,-18.423655
Spain,0.43149998784065247,0.14079999923706055,0.09700000286102295,0.33070001006126404,14.759911,-29.309105
Netherlands,0.10180000215768814,0.08240000158548355,0.7409999966621399,0.07490000128746033,-17.191538,22.71616
Poland,0.21160000562667847,0.32409998774528503,0.15850000083446503,0.30570000410079956,28.920515,-10.484365
Portugal,0.7599999904632568,0.08219999819993973,0.07109999656677246,0.08669999986886978,-2.271355,-25.563726
Romania,0.2897999882698059,0.15070000290870667,0.08900000154972076,0.47049999237060547,24.427763,-32.615124
Sweden,0.1800999939441681,0.2125999927520752,0.4481000006198883,0.15919999778270721,-2.4298146,4.7539573
Slovenia,0.19099999964237213,0.47040000557899475,0.14820000529289246,0.19040000438690186,32.434834,0.7485645
Slovakia,0.2524999976158142,0.2678000032901764,0.1348000019788742,0.3449999988079071,20.150051,-20.391142
