country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,c1,c2
Austria,0.1680999994277954,0.2214999943971634,0.2184000015258789,0.1639000028371811,0.2281000018119812,0.08889999985694885,0.3149999976158142,0.19949999451637268,0.09730000048875809,0.2994000017642975,0.23929999768733978,0.19539999961853027,0.14970000088214874,0.23510000109672546,0.18050000071525574,-3.7142475,1.4839088
Belgium,0.17299999296665192,0.18799999356269836,0.2547000050544739,0.17800000309944153,0.20630000531673431,0.06459999829530716,0.07320000231266022,0.6832000017166138,0.07020000368356705,0.1088000014424324,0.20329999923706055,0.18930000066757202,0.2206999957561493,0.19120000302791595,0.19550000131130219,-0.5911063,-2.546972
Bulgaria,0.19480000436306,0.20990000665187836,0.1965000033378601,0.1899999976158142,0.20880000293254852,0.18019999563694,0.2152000069618225,0.2069000005722046,0.18369999527931213,0.21400000154972076,0.2556999921798706,0.1761000007390976,0.16050000488758087,0.23919999599456787,0.16859999299049377,-5.213196,1.3165172
Czechia,0.18629999458789825,0.2150000035762787,0.17919999361038208,0.21289999783039093,0.20659999549388885,0.15459999442100525,0.22419999539852142,0.16840000450611115,0.22450000047683716,0.22830000519752502,0.3935999870300293,0.11860000342130661,0.10199999809265137,0.275299996137619,0.11050000041723251,-14.700696,2.4607787
Cyprus,0.18690000474452972,0.22139999270439148,0.19349999725818634,0.18199999630451202,0.21610000729560852,0.16599999368190765,0.22759999334812164,0.23559999465942383,0.16009999811649323,0.21070000529289246,0.2928999960422516,0.17249999940395355,0.15279999375343323,0.219200000166893,0.16259999573230743,-6.988192,1.4843527
Germany,0.1679999977350235,0.21629999577999115,0.21549999713897705,0.18289999663829803,0.21729999780654907,0.1080000028014183,0.22660000622272491,0.28049999475479126,0.11969999969005585,0.2651999890804291,0.29339998960494995,0.164900004863739,0.15080000460147858,0.227400004863739,0.16349999606609344,-8.027008,1.4370142
Denmark,0.19169999659061432,0.20389999449253082,0.20659999549388885,0.1915999948978424,0.20630000531673431,0.15459999442100525,0.23260000348091125,0.22930000722408295,0.16740000247955322,0.21610000729560852,0.2930000126361847,0.1712000072002411,0.15289999544620514,0.22310000658035278,0.1598999947309494,-7.6977673,0.17506313
Estonia,0.18310000002384186,0.21799999475479126,0.20649999380111694,0.1834000051021576,0.20909999310970306,0.1868000030517578,0.21140000224113464,0.20569999516010284,0.1868000030517578,0.2092999964952469,0.3398999869823456,0.14509999752044678,0.12139999866485596,0.2524000108242035,0.1412000060081482,-11.93899,2.2873025
Croatia,0.18870000541210175,0.20980000495910645,0.1940000057220459,0.195700004696846,0.2117999941110611,0.16210000216960907,0.21739999949932098,0.24150000512599945,0.15610000491142273,0.22280000150203705,0.3792000114917755,0.1467999964952469,0.11500000208616257,0.2290000021457672,0.12999999523162842,-13.711795,4.017802
Finland,0.19009999930858612,0.20909999310970306,0.2070000022649765,0.1867000013589859,0.2071000039577484,0.17399999499320984,0.20999999344348907,0.22779999673366547,0.16949999332427979,0.21879999339580536,0.22579999268054962,0.1915999948978424,0.18310000002384186,0.20970000326633453,0.18979999423027039,-2.1806076,-1.2744881
France,0.13910000026226044,0.1932000070810318,0.33149999380111694,0.13490000367164612,0.2011999934911728,0.12470000237226486,0.16249999403953552,0.39730000495910645,0.12890000641345978,0.186599999666214,0.19220000505447388,0.20080000162124634,0.21580000221729279,0.19040000438690186,0.20080000162124634,0.6096913,-2.1906192
Malta,0.19380000233650208,0.2084999978542328,0.20090000331401825,0.1890999972820282,0.2076999992132187,0.18279999494552612,0.21089999377727509,0.21080000698566437,0.18050000071525574,0.2150000035762787,0.24410000443458557,0.19359999895095825,0.16740000247955322,0.20880000293254852,0.18619999289512634,-3.078938,0.040658705
Luxembourg,0.1859000027179718,0.20679999887943268,0.2092999964952469,0.19040000438690186,0.20759999752044678,0.1615000069141388,0.2257000058889389,0.2272000014781952,0.1665000021457672,0.2190999984741211,0.21660000085830688,0.19910000264644623,0.18979999423027039,0.1995999962091446,0.1949000060558319,-0.8958497,-0.91913426
Lithuania,0.17520000040531158,0.2312999963760376,0.20110000669956207,0.1745000034570694,0.21789999306201935,0.17960000038146973,0.21899999678134918,0.2101999968290329,0.179299995303154,0.21199999749660492,0.28369998931884766,0.17229999601840973,0.16019999980926514,0.21899999678134918,0.1648000031709671,-6.465643,0.3236186
Latvia,0.19259999692440033,0.20469999313354492,0.2029000073671341,0.19210000336170197,0.2076999992132187,0.17190000414848328,0.22269999980926514,0.20579999685287476,0.1762000024318695,0.22339999675750732,0.19419999420642853,0.20919999480247498,0.19679999351501465,0.1931000053882599,0.20669999718666077,0.5015341,-0.90236455
Italy,0.14419999718666077,0.25760000944137573,0.2102999985218048,0.15459999442100525,0.23340000212192535,0.17180000245571136,0.19449999928474426,0.25440001487731934,0.14949999749660492,0.2298000007867813,0.5123999714851379,0.11649999767541885,0.10700000077486038,0.15070000290870667,0.11339999735355377,-15.406619,5.3210263
Ireland,0.1835000067949295,0.21040000021457672,0.2134000062942505,0.17489999532699585,0.21780000627040863,0.16459999978542328,0.22349999845027924,0.24210000038146973,0.15309999883174896,0.21649999916553497,0.375,0.1509000062942505,0.11760000139474869,0.21860000491142273,0.1378999948501587,-12.447314,3.8434248
Hungary,0.19509999454021454,0.2076999992132187,0.19779999554157257,0.19539999961853027,0.20399999618530273,0.16249999403953552,0.23749999701976776,0.2190999984741211,0.17409999668598175,0.20679999887943268,0.3084999918937683,0.15330000221729279,0.12150000035762787,0.2770000100135803,0.1396999955177307,-10.948802,1.0143462
Spain,0.1306000053882599,0.21549999713897705,0.23070000112056732,0.1518000066280365,0.27140000462532043,0.09570000320672989,0.1949000060558319,0.3531000018119812,0.09929999709129333,0.257099986076355,0.25380000472068787,0.17589999735355377,0.18479999899864197,0.20640000700950623,0.17910000681877136,-3.8073463,-1.0471926
Netherlands,0.14650000631809235,0.18619999289512634,0.328900009393692,0.15000000596046448,0.188400000333786,0.11540000140666962,0.14650000631809235,0.4880000054836273,0.11500000208616257,0.13510000705718994,0.37869998812675476,0.15520000457763672,0.11320000141859055,0.2354000061750412,0.11749999970197678,-13.377993,2.9872015
Poland,0.16619999706745148,0.22030000388622284,0.1842000037431717,0.21629999577999115,0.21299999952316284,0.1404000073671341,0.19370000064373016,0.15189999341964722,0.28369998931884766,0.23029999434947968,0.06069999933242798,0.05829999968409538,0.051899999380111694,0.7660999894142151,0.06300000101327896,-11.139356,-0.8477739
Portugal,0.18289999663829803,0.20759999752044678,0.21850000321865082,0.18029999732971191,0.21070000529289246,0.15150000154972076,0.22179999947547913,0.23010000586509705,0.15389999747276306,0.24269999563694,0.36959999799728394,0.15279999375343323,0.13230000436306,0.20319999754428864,0.1421000063419342,-12.746994,4.9318776
Romania,0.18880000710487366,0.227400004863739,0.19949999451637268,0.17520000040531158,0.20900000631809235,0.16750000417232513,0.2167000025510788,0.21150000393390656,0.1754000037908554,0.2287999987602234,0.2410999983549118,0.20469999313354492,0.1770000010728836,0.19130000472068787,0.1858000010251999,-1.8677157,0.086562164
Sweden,0.19050000607967377,0.2084999978542328,0.20990000665187836,0.18700000643730164,0.20399999618530273,0.1428000032901764,0.20409999787807465,0.31470000743865967,0.13210000097751617,0.20630000531673431,0.2718000113964081,0.18170000612735748,0.17399999499320984,0.19499999284744263,0.17739999294281006,-5.0175285,-0.86421853
Slovenia,0.1696999967098236,0.2152000069618225,0.23000000417232513,0.17440000176429749,0.21070000529289246,0.17159999907016754,0.2143000066280365,0.2371000051498413,0.16670000553131104,0.2101999968290329,0.28540000319480896,0.16290000081062317,0.1421000063419342,0.2632000148296356,0.14640000462532043,-9.562783,0.68266124
Slovakia,0.21220000088214874,0.1988999992609024,0.1793999969959259,0.21400000154972076,0.19550000131130219,0.1915999948978424,0.2003999948501587,0.20589999854564667,0.1988999992609024,0.20309999585151672,0.43790000677108765,0.09730000048875809,0.08910000324249268,0.27950000762939453,0.09629999846220016,-15.671828,3.2737715
