country,0,1,2,3,4,5,6,7,8,9,10,11,c1,c2
Austria,0.22830000519752502,0.21610000729560852,0.3025999963283539,0.2529999911785126,0.2329999953508377,0.25279998779296875,0.31220000982284546,0.20190000534057617,0.26019999384880066,0.15870000422000885,0.15289999544620514,0.42829999327659607,7.2013955,5.518817
Belgium,0.28299999237060547,0.2678000032901764,0.2969000041484833,0.15230000019073486,0.18970000743865967,0.35100001096725464,0.3140000104904175,0.1453000009059906,0.35260000824928284,0.13940000534057617,0.14509999752044678,0.3628999888896942,-9.139975,5.708599
Bulgaria,0.21739999949932098,0.2084999978542328,0.2782999873161316,0.29580000042915344,0.08489999920129776,0.23160000145435333,0.5703999996185303,0.11309999972581863,0.18539999425411224,0.0812000036239624,0.08510000258684158,0.6482999920845032,25.50555,8.914494
Czechia,0.1678999960422516,0.1485999971628189,0.23819999396800995,0.44530001282691956,0.04830000177025795,0.35519999265670776,0.12330000102519989,0.4731999933719635,0.11990000307559967,0.0771000012755394,0.09529999643564224,0.7077000141143799,25.147806,15.115267
Cyprus,0.2563999891281128,0.266400009393692,0.27309998869895935,0.20409999787807465,0.18119999766349792,0.362199991941452,0.27709999680519104,0.17949999868869781,0.27160000801086426,0.2102999985218048,0.2087000012397766,0.3093999922275543,1.7016319,-15.761268
Germany,0.18330000340938568,0.5234000086784363,0.16349999606609344,0.1298000067472458,0.05900000035762787,0.803600013256073,0.08320000022649765,0.05420000106096268,0.42579999566078186,0.13189999759197235,0.13830000162124634,0.30399999022483826,-19.478464,15.706164
Denmark,0.3449999988079071,0.36500000953674316,0.15129999816417694,0.1386999934911728,0.28619998693466187,0.39100000262260437,0.19619999825954437,0.1265999972820282,0.3301999866962433,0.16850000619888306,0.17219999432563782,0.32899999618530273,-8.05741,-4.9862094
Estonia,0.21960000693798065,0.30730000138282776,0.22669999301433563,0.24639999866485596,0.09870000183582306,0.5968000292778015,0.16040000319480896,0.14409999549388885,0.27630001306533813,0.21480000019073486,0.18629999458789825,0.32260000705718994,4.354082,-10.085877
Croatia,0.1551000028848648,0.38350000977516174,0.2605000138282776,0.20100000500679016,0.19419999420642853,0.2800000011920929,0.30630001425743103,0.21950000524520874,0.30869999527931213,0.19539999961853027,0.16760000586509705,0.32829999923706055,-0.4723091,-5.0342207
Finland,0.2802000045776367,0.24959999322891235,0.23600000143051147,0.23420000076293945,0.14480000734329224,0.47620001435279846,0.19939999282360077,0.17949999868869781,0.3756999969482422,0.12950000166893005,0.14650000631809235,0.3483000099658966,-13.435954,10.1349745
France,0.2540999948978424,0.25290000438690186,0.24199999868869781,0.25099998712539673,0.32030001282691956,0.2484000027179718,0.23170000314712524,0.1995999962091446,0.8345000147819519,0.05469999834895134,0.07159999758005142,0.03920000046491623,-37.723297,22.487066
Malta,0.23909999430179596,0.27810001373291016,0.289000004529953,0.19370000064373016,0.05959999933838844,0.798799991607666,0.08609999716281891,0.05550000071525574,0.29100000858306885,0.1868000030517578,0.19269999861717224,0.3294999897480011,-2.660779,-10.313044
Luxembourg,0.2615000009536743,0.2777000069618225,0.25049999356269836,0.2102999985218048,0.1835000067949295,0.46810001134872437,0.2134000062942505,0.13510000705718994,0.4120999872684479,0.1906999945640564,0.16920000314712524,0.2281000018119812,-17.696512,24.030409
Lithuania,0.21089999377727509,0.26190000772476196,0.22519999742507935,0.3019999861717224,0.10899999737739563,0.4388999938964844,0.2222999930381775,0.22990000247955322,0.3970000147819519,0.16189999878406525,0.16009999811649323,0.2809999883174896,-14.184928,19.05411
Latvia,0.2558000087738037,0.1956000030040741,0.23070000112056732,0.31790000200271606,0.16099999845027924,0.2248000055551529,0.41670000553131104,0.19750000536441803,0.18629999458789825,0.13930000364780426,0.1379999965429306,0.5364000201225281,18.860054,6.510782
Italy,0.22300000488758087,0.1850000023841858,0.49729999899864197,0.09470000118017197,0.1444000005722046,0.4634999930858612,0.28130000829696655,0.11069999635219574,0.323199987411499,0.16680000722408295,0.16410000622272491,0.3458999991416931,-4.693906,-0.27645817
Ireland,0.16859999299049377,0.4729999899864197,0.20190000534057617,0.1565999984741211,0.14429999887943268,0.5562000274658203,0.1867000013589859,0.1128000020980835,0.3776000142097473,0.12070000171661377,0.11580000072717667,0.38589999079704285,-19.382702,6.806379
Hungary,0.1615000069141388,0.09960000216960907,0.5906999707221985,0.14820000529289246,0.05050000175833702,0.046799998730421066,0.8513000011444092,0.05139999836683273,0.37540000677108765,0.06849999725818634,0.15710000693798065,0.39910000562667847,-21.501842,0.16640118
