country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,c1,c2
Austria,0.258899986743927,0.19339999556541443,0.20430000126361847,0.18080000579357147,0.16259999573230743,0.1160999983549118,0.267300009727478,0.24089999496936798,0.2919999957084656,0.08370000123977661,0.18150000274181366,0.18649999797344208,0.1931000053882599,0.16699999570846558,0.2718999981880188,-19.94279,15.568098
Belgium,0.2563999891281128,0.1987999975681305,0.11680000275373459,0.3614000082015991,0.06650000065565109,0.04699999839067459,0.11219999939203262,0.08829999715089798,0.7095999717712402,0.04280000180006027,0.12240000069141388,0.1316000074148178,0.1331000030040741,0.18080000579357147,0.43209999799728394,-4.903145,9.81855
Bulgaria,0.5683000087738037,0.06930000334978104,0.07569999992847443,0.07509999722242355,0.21160000562667847,0.1979999989271164,0.1103999987244606,0.20909999310970306,0.3946000039577484,0.08789999783039093,0.09149999916553497,0.06849999725818634,0.07039999961853027,0.07450000196695328,0.6951000094413757,19.065872,-5.0358047
Czechia,0.670799970626831,0.06520000100135803,0.11659999936819077,0.05820000171661377,0.08919999748468399,0.08449999988079071,0.06369999796152115,0.7409999966621399,0.05429999902844429,0.05660000070929527,0.06270000338554382,0.05550000071525574,0.08950000256299973,0.060600001364946365,0.7317000031471252,21.007622,-9.356765
Cyprus,0.2305999994277954,0.16930000483989716,0.34139999747276306,0.15109999477863312,0.10760000348091125,0.10480000078678131,0.19820000231266022,0.4708999991416931,0.1362999975681305,0.08980000019073486,0.17110000550746918,0.18700000643730164,0.179299995303154,0.1656000018119812,0.2969000041484833,-19.948511,10.885254
Germany,0.2175000011920929,0.4932999908924103,0.07680000364780426,0.11309999972581863,0.09929999709129333,0.046300001442432404,0.7767000198364258,0.05249999836087227,0.08129999786615372,0.04309999942779541,0.15309999883174896,0.21080000698566437,0.1590999960899353,0.15929999947547913,0.3176000118255615,-12.462192,14.563775
Denmark,0.5253999829292297,0.1386999934911728,0.10329999774694443,0.12370000034570694,0.10890000313520432,0.14390000700950623,0.30809998512268066,0.31619998812675476,0.1527000069618225,0.07909999787807465,0.17090000212192535,0.13379999995231628,0.12210000306367874,0.1071000024676323,0.4661000072956085,-7.0674596,3.8980079
Estonia,0.5067999958992004,0.13189999759197235,0.11890000104904175,0.11100000143051147,0.131400004029274,0.1454000025987625,0.26330000162124634,0.3433000147342682,0.13289999961853027,0.1151999980211258,0.09539999812841415,0.0812000036239624,0.07199999690055847,0.06729999929666519,0.6840000152587891,15.733882,-8.968117
Croatia,0.41110000014305115,0.13940000534057617,0.1445000022649765,0.13050000369548798,0.17440000176429749,0.12729999423027039,0.23680000007152557,0.35190001130104065,0.1826999932527542,0.10119999945163727,0.09200000017881393,0.08269999921321869,0.08529999852180481,0.07880000025033951,0.6611999869346619,14.4571085,-4.522855
Finland,0.5149000287055969,0.13539999723434448,0.12389999628067017,0.09910000115633011,0.12680000066757202,0.1890999972820282,0.26589998602867126,0.3179999887943268,0.12099999934434891,0.10599999874830246,0.20350000262260437,0.1193000003695488,0.13590000569820404,0.11069999635219574,0.43070000410079956,-9.370989,7.7649784
France,0.19480000436306,0.19709999859333038,0.18050000071525574,0.2750000059604645,0.1526000052690506,0.12479999661445618,0.1712000072002411,0.14489999413490295,0.4442000091075897,0.11490000039339066,0.025800000876188278,0.028300000354647636,0.025200000032782555,0.7908999919891357,0.1298999935388565,-6.794059,20.095934
Malta,0.3538999855518341,0.18479999899864197,0.13109999895095825,0.18440000712871552,0.14579999446868896,0.14399999380111694,0.36419999599456787,0.19300000369548798,0.18889999389648438,0.10989999771118164,0.17970000207424164,0.2029000073671341,0.1728000044822693,0.16040000319480896,0.2842000126838684,-15.952855,17.595816
Luxembourg,0.18559999763965607,0.21459999680519104,0.22040000557899475,0.2257000058889389,0.15369999408721924,0.13539999723434448,0.287200003862381,0.2685999870300293,0.21160000562667847,0.09719999879598618,0.17749999463558197,0.17319999635219574,0.16509999334812164,0.15780000388622284,0.3264999985694885,-15.538944,11.405937
Lithuania,0.2870999872684479,0.21930000185966492,0.20059999823570251,0.11659999936819077,0.17640000581741333,0.07150000333786011,0.5216000080108643,0.08500000089406967,0.1500999927520752,0.17170000076293945,0.08320000022649765,0.12860000133514404,0.07760000228881836,0.09669999778270721,0.6137999892234802,9.706196,-0.4816855
Latvia,0.21089999377727509,0.18649999797344208,0.17870000004768372,0.17229999601840973,0.2517000138759613,0.17100000381469727,0.19359999895095825,0.18729999661445618,0.28139999508857727,0.16670000553131104,0.09669999778270721,0.07519999891519547,0.07800000160932541,0.18379999697208405,0.5663999915122986,5.1243696,5.885236
Italy,0.41510000824928284,0.09239999949932098,0.07440000027418137,0.33399999141693115,0.08420000225305557,0.062199998646974564,0.11100000143051147,0.10700000077486038,0.6654999852180481,0.05429999902844429,0.12219999730587006,0.09679999947547913,0.12999999523162842,0.14640000462532043,0.5045999884605408,-1.3988544,5.2085967
Ireland,0.2207999974489212,0.5307999849319458,0.07850000262260437,0.11259999871253967,0.05730000138282776,0.057999998331069946,0.7186999917030334,0.0843999981880188,0.09350000321865082,0.04540000110864639,0.10989999771118164,0.2761000096797943,0.08640000224113464,0.08810000121593475,0.43950000405311584,-12.427793,0.1512894
Hungary,0.303600013256073,0.14659999310970306,0.15600000321865082,0.13699999451637268,0.25679999589920044,0.16040000319480896,0.12600000202655792,0.4846000075340271,0.11739999800920486,0.11159999668598175,0.04490000009536743,0.045499999076128006,0.04129999876022339,0.048700001090765,0.819599986076355,23.296673,-14.452816
