country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,c1,c2
Austria,0.10429999977350235,0.13169999420642853,0.10589999705553055,0.09380000084638596,0.2295999974012375,0.12240000069141388,0.21230000257492065,0.026499999687075615,0.016899999231100082,0.036400001496076584,0.03480000048875809,0.018699999898672104,0.0478999987244606,0.8187999725341797,0.12359999865293503,0.23569999635219574,0.1216999962925911,0.11699999868869781,0.1485999971628189,0.11729999631643295,0.13609999418258667,-0.114519365,-1.047057
Belgium,0.051899999380111694,0.10830000042915344,0.06960000097751617,0.05420000106096268,0.4106999933719635,0.25130000710487366,0.05400000140070915,0.018300000578165054,0.014800000004470348,0.03020000085234642,0.023900000378489494,0.011599999852478504,0.8804000020027161,0.020899999886751175,0.08900000154972076,0.38029998540878296,0.1257999986410141,0.08640000224113464,0.1298999935388565,0.10260000079870224,0.0860000029206276,0.26397985,-3.7767417
Bulgaria,0.08839999884366989,0.4966000020503998,0.06499999761581421,0.08229999989271164,0.14830000698566437,0.0568000003695488,0.06260000169277191,0.3472000062465668,0.04639999940991402,0.19939999282360077,0.13179999589920044,0.0632999986410141,0.09260000288486481,0.11940000206232071,0.0722000002861023,0.633899986743927,0.05979999899864197,0.06030000001192093,0.07739999890327454,0.04820000007748604,0.04820000007748604,0.5390532,-10.152601
Czechia,0.20970000326633453,0.2093999981880188,0.08060000091791153,0.09109999984502792,0.2705000042915344,0.07270000129938126,0.06610000133514404,0.7261000275611877,0.031599998474121094,0.042899999767541885,0.04639999940991402,0.03189999982714653,0.055399999022483826,0.065700002014637,0.14190000295639038,0.5230000019073486,0.06960000097751617,0.0632999986410141,0.07410000264644623,0.061900001019239426,0.06610000133514404,-0.60227585,-8.390113
Cyprus,0.11230000108480453,0.09520000219345093,0.10100000351667404,0.1103999987244606,0.38199999928474426,0.11460000276565552,0.08449999988079071,0.17759999632835388,0.10170000046491623,0.14020000398159027,0.16619999706745148,0.10279999673366547,0.1379999965429306,0.17350000143051147,0.11789999902248383,0.3095000088214874,0.09390000253915787,0.10429999977350235,0.21150000393390656,0.08269999921321869,0.08030000329017639,0.8837449,-1.8514769
Germany,0.08340000361204147,0.1062999963760376,0.07980000227689743,0.07289999723434448,0.42969998717308044,0.08370000123977661,0.14409999549388885,0.05480000004172325,0.026900000870227814,0.06710000336170197,0.06930000334978104,0.04170000180602074,0.16769999265670776,0.5726000070571899,0.10360000282526016,0.31839999556541443,0.09319999814033508,0.08659999817609787,0.19470000267028809,0.0869000032544136,0.11670000106096268,0.6314889,-2.042478
Denmark,0.07119999825954437,0.07029999792575836,0.05920000001788139,0.06870000064373016,0.48089998960494995,0.12870000302791595,0.12099999934434891,0.12160000205039978,0.061500001698732376,0.08070000261068344,0.07519999891519547,0.14300000667572021,0.10760000348091125,0.41040000319480896,0.09200000017881393,0.4287000000476837,0.08309999853372574,0.08969999849796295,0.1379999965429306,0.08309999853372574,0.08540000021457672,0.16236529,-4.972881
Estonia,0.09849999845027924,0.13330000638961792,0.09749999642372131,0.13220000267028809,0.3447999954223633,0.09790000319480896,0.0957999974489212,0.12630000710487366,0.0502999983727932,0.08250000327825546,0.37209999561309814,0.06560000032186508,0.15760000050067902,0.14560000598430634,0.08540000021457672,0.4814000129699707,0.08340000361204147,0.09269999712705612,0.0868000015616417,0.08749999850988388,0.08269999921321869,0.52370495,-6.7236075
Croatia,0.16369999945163727,0.13989999890327454,0.09780000150203705,0.10429999977350235,0.31349998712539673,0.08940000087022781,0.09139999747276306,0.609000027179718,0.021199999377131462,0.05950000137090683,0.17820000648498535,0.019200000911951065,0.06700000166893005,0.045899998396635056,0.1354999989271164,0.25690001249313354,0.11190000176429749,0.11779999732971191,0.1647000014781952,0.10459999740123749,0.10859999805688858,0.3352044,-1.1604269
Finland,0.10119999945163727,0.1737000048160553,0.08470000326633453,0.08609999716281891,0.38089999556541443,0.08190000057220459,0.09149999916553497,0.14569999277591705,0.10499999672174454,0.11940000206232071,0.09969999641180038,0.10580000281333923,0.12919999659061432,0.29510000348091125,0.09679999947547913,0.43799999356269836,0.08399999886751175,0.08340000361204147,0.12680000066757202,0.0860000029206276,0.08489999920129776,0.119192824,-5.3245707
