country,0,1,2,3,4,5,c1,c2
Austria,0.1370999962091446,0.16179999709129333,0.13220000267028809,0.12240000069141388,0.12870000302791595,0.31779998540878296,15.965066,-7.1491756
Belgium,0.2890999913215637,0.1876000016927719,0.1143999993801117,0.09790000319480896,0.193900004029274,0.11720000207424164,-35.931656,6.6444864
Bulgaria,0.5066999793052673,0.08839999884366989,0.06790000200271606,0.1096000000834465,0.11230000108480453,0.11509999632835388,-46.408623,-5.6959853
Czechia,0.061400000005960464,0.04659999907016754,0.05559999868273735,0.06710000336170197,0.05350000038743019,0.7157999873161316,26.421207,-37.087173
Cyprus,0.04010000079870224,0.042500000447034836,0.7858999967575073,0.05959999933838844,0.03929999843239784,0.032600000500679016,47.33576,13.756573
Germany,0.08460000157356262,0.11840000003576279,0.11810000240802765,0.16779999434947968,0.07970000058412552,0.43130001425743103,19.816212,-21.791277
Denmark,0.17910000681877136,0.1525000035762787,0.16940000653266907,0.1307000070810318,0.1315000057220459,0.23680000007152557,-2.3191752,-1.6256382
Estonia,0.06499999761581421,0.04749999940395355,0.061400000005960464,0.05950000137090683,0.705299973487854,0.06129999831318855,-35.108658,-39.128986
Croatia,0.11949999630451202,0.17919999361038208,0.16179999709129333,0.13729999959468842,0.1534000039100647,0.24879999458789825,8.749351,2.14466
Finland,0.1363999992609024,0.16910000145435333,0.14959999918937683,0.1639000028371811,0.22200000286102295,0.1589999943971634,-6.9683523,16.221159
France,0.2939999997615814,0.2619999945163727,0.13169999420642853,0.1006999984383583,0.10970000177621841,0.10189999639987946,-31.617716,16.708471
Malta,0.065700002014637,0.05770000070333481,0.6948999762535095,0.08820000290870667,0.05050000175833702,0.04320000112056732,43.31972,21.859268
Luxembourg,0.06759999692440033,0.34360000491142273,0.22630000114440918,0.121799997985363,0.11980000138282776,0.12080000340938568,9.86691,33.002472
Lithuania,0.04910000041127205,0.04839999973773956,0.05249999836087227,0.0877000018954277,0.707099974155426,0.05530000105500221,-27.104069,-43.017887
Latvia,0.0746999979019165,0.2775000035762787,0.1143999993801117,0.13830000162124634,0.3147999942302704,0.08030000329017639,-4.4186487,29.683847
Italy,0.24310000240802765,0.09080000221729279,0.15240000188350677,0.21130000054836273,0.08990000188350677,0.2125999927520752,-15.641755,-5.3794675
Ireland,0.062199998646974564,0.7249000072479248,0.06360000371932983,0.054499998688697815,0.05050000175833702,0.04439999908208847,4.255222,56.339783
Hungary,0.06400000303983688,0.5435000061988831,0.08659999817609787,0.1264999955892563,0.09430000185966492,0.0851999968290329,9.333581,47.777325
Greece,0.24009999632835388,0.09589999914169312,0.14219999313354492,0.1145000010728836,0.11649999767541885,0.29089999198913574,-7.4985394,-14.765795
Spain,0.26170000433921814,0.1256999969482422,0.21040000021457672,0.16439999639987946,0.11710000038146973,0.12080000340938568,-20.836721,6.4017315
Netherlands,0.11320000141859055,0.12319999933242798,0.36390000581741333,0.10779999941587448,0.10530000180006027,0.18649999797344208,23.329216,13.419213
Poland,0.02459999918937683,0.02199999988079071,0.030700000002980232,0.873199999332428,0.026399999856948853,0.023000000044703484,-25.658758,37.34482
Portugal,0.7713000178337097,0.041600000113248825,0.04390000179409981,0.04259999841451645,0.05570000037550926,0.04490000009536743,-57.30391,-1.1252223
Romania,0.15600000321865082,0.09629999846220016,0.07559999823570251,0.08139999955892563,0.0794999971985817,0.5112000107765198,14.739537,-32.9447
Sweden,0.2937999963760376,0.1256999969482422,0.1589999943971634,0.1298000067472458,0.14010000228881836,0.15150000154972076,-28.358095,-2.7689817
Slovenia,0.11729999631643295,0.1160999983549118,0.12919999659061432,0.1890999972820282,0.22509999573230743,0.22310000658035278,2.5361645,11.839053
Slovakia,0.09099999815225601,0.18559999763965607,0.10790000110864639,0.21539999544620514,0.10480000078678131,0.2953000068664551,7.1574116,-13.997544
