country,0,1,2,3,4,5,6,7,8,9,c1,c2
Austria,0.05849999934434891,0.04430000111460686,0.03370000049471855,0.6230999827384949,0.042500000447034836,0.039500001817941666,0.0348999984562397,0.04470000043511391,0.03539999946951866,0.04340000078082085,30.178526,23.033775
Belgium,0.43230000138282776,0.06260000169277191,0.1543000042438507,0.05130000039935112,0.051600001752376556,0.049800001084804535,0.04769999906420708,0.04430000111460686,0.05730000138282776,0.04879999905824661,11.647686,44.897102
Bulgaria,0.05400000140070915,0.07689999788999557,0.043800000101327896,0.09109999984502792,0.08030000329017639,0.05900000035762787,0.26409998536109924,0.10130000114440918,0.10830000042915344,0.12110000103712082,-32.67451,17.912697
Czechia,0.042399998754262924,0.04390000179409981,0.03720000013709068,0.04349999874830246,0.050200000405311584,0.5795999765396118,0.05009999871253967,0.05119999870657921,0.05000000074505806,0.05180000141263008,-29.752472,-10.916826
Cyprus,0.060600001364946365,0.06080000102519989,0.05290000140666962,0.08510000258684158,0.06360000371932983,0.05550000071525574,0.07739999890327454,0.4041999876499176,0.06750000268220901,0.0723000019788742,0.95178807,-24.021936
Germany,0.07940000295639038,0.49709999561309814,0.07649999856948853,0.0632999986410141,0.0551999993622303,0.053599998354911804,0.041200000792741776,0.04800000041723251,0.040800001472234726,0.04490000009536743,-9.561465,-9.142118
Denmark,0.0640999972820282,0.07069999724626541,0.4490000009536743,0.0617000013589859,0.06379999965429306,0.05719999969005585,0.05739999935030937,0.05979999899864197,0.05510000139474869,0.06129999831318855,-13.405235,53.581352
Estonia,0.07980000227689743,0.10209999978542328,0.08829999715089798,0.07999999821186066,0.11559999734163284,0.09910000115633011,0.17399999499320984,0.09130000323057175,0.07729999721050262,0.09239999949932098,-13.078439,16.040339
Croatia,0.03480000048875809,0.03970000147819519,0.03150000050663948,0.04859999939799309,0.03880000114440918,0.03819999843835831,0.03539999946951866,0.6492999792098999,0.03750000149011612,0.04619999974966049,-2.4392488,-30.196926
Finland,0.07649999856948853,0.09870000183582306,0.1843000054359436,0.07050000131130219,0.11620000004768372,0.08760000020265579,0.13189999759197235,0.07540000230073929,0.0714000016450882,0.08760000020265579,-11.037331,28.196081
France,0.5924999713897705,0.04809999838471413,0.032499998807907104,0.051600001752376556,0.04560000076889992,0.03680000081658363,0.03920000046491623,0.0544000007212162,0.04470000043511391,0.05460000038146973,17.513435,48.035122
Malta,0.06270000338554382,0.09709999710321426,0.07090000063180923,0.07739999890327454,0.13040000200271606,0.09300000220537186,0.20180000364780426,0.09160000085830688,0.09489999711513519,0.08020000159740448,-18.744629,9.053268
Luxembourg,0.13490000367164612,0.11590000241994858,0.22460000216960907,0.09160000085830688,0.08900000154972076,0.06260000169277191,0.06480000168085098,0.07540000230073929,0.06710000336170197,0.07410000264644623,-3.671969,34.9824
Lithuania,0.06440000236034393,0.07670000195503235,0.06610000133514404,0.07150000333786011,0.09399999678134918,0.09619999676942825,0.24719999730587006,0.10289999842643738,0.09260000288486481,0.0885000005364418,-28.448172,9.84666
Latvia,0.07970000058412552,0.08820000290870667,0.06870000064373016,0.07280000299215317,0.11129999905824661,0.09969999641180038,0.21089999377727509,0.08560000360012054,0.08780000358819962,0.09539999812841415,-21.970068,17.60808
Italy,0.06469999998807907,0.05990000069141388,0.03840000182390213,0.4018999934196472,0.05719999969005585,0.04619999974966049,0.04650000110268593,0.06400000303983688,0.16760000586509705,0.053599998354911804,24.46786,19.36102
Ireland,0.07349999994039536,0.07180000096559525,0.3862999975681305,0.06689999997615814,0.07500000298023224,0.061000000685453415,0.06430000066757202,0.06390000134706497,0.06920000165700912,0.06800000369548798,-12.754966,45.068985
Hungary,0.07909999787807465,0.08900000154972076,0.0681999996304512,0.09830000251531601,0.09319999814033508,0.08910000324249268,0.13259999454021454,0.0860000029206276,0.08780000358819962,0.17659999430179596,-3.4074733,12.164144
Greece,0.08139999955892563,0.08869999647140503,0.06970000267028809,0.09130000323057175,0.10260000079870224,0.08959999680519104,0.10220000147819519,0.1274999976158142,0.12770000100135803,0.11940000206232071,5.5402966,11.700754
Spain,0.09279999881982803,0.06560000032186508,0.048700001090765,0.09929999709129333,0.08990000188350677,0.06440000236034393,0.08810000121593475,0.10429999977350235,0.24289999902248383,0.10400000214576721,13.74766,4.725945
Netherlands,0.1145000010728836,0.0608999989926815,0.4894999861717224,0.06069999933242798,0.05180000141263008,0.053599998354911804,0.0414000004529953,0.03779999911785126,0.04569999873638153,0.04399999976158142,-20.846914,49.49729
Poland,0.0763000026345253,0.07729999721050262,0.06279999762773514,0.08799999952316284,0.10040000081062317,0.09239999949932098,0.12099999934434891,0.09239999949932098,0.0982000008225441,0.19120000302791595,0.12449593,3.6489165
Portugal,0.06040000170469284,0.04729999974370003,0.041999999433755875,0.04560000076889992,0.051500000059604645,0.04989999905228615,0.04529999941587448,0.045099999755620956,0.5666000247001648,0.04639999940991402,27.958754,-7.8979254
Romania,0.05559999868273735,0.057500001043081284,0.04270000010728836,0.07530000060796738,0.061000000685453415,0.054099999368190765,0.07209999859333038,0.07880000025033951,0.4253999888896942,0.07750000059604645,22.026457,-3.7150748
Sweden,0.0934000015258789,0.10639999806880951,0.16179999709129333,0.07930000126361847,0.1039000004529953,0.10580000281333923,0.09839999675750732,0.08060000091791153,0.07829999923706055,0.09210000187158585,-3.0203116,24.726606
Slovenia,0.0771000012755394,0.08699999749660492,0.0674000009894371,0.09009999781847,0.12290000170469284,0.13009999692440033,0.11550000309944153,0.07479999959468842,0.10429999977350235,0.13079999387264252,-8.819479,5.0302386
Slovakia,0.06430000066757202,0.049800001084804535,0.04690000042319298,0.08009999990463257,0.06270000338554382,0.14800000190734863,0.2168000042438507,0.15320000052452087,0.08739999681711197,0.09080000221729279,-25.69498,0.5225037
