country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,c1,c2
Austria,0.09369999915361404,0.09480000287294388,0.09059999883174896,0.0828000009059906,0.11909999698400497,0.09929999709129333,0.1039000004529953,0.09120000153779984,0.12240000069141388,0.10220000147819519,0.04540000110864639,0.026499999687075615,0.07819999754428864,0.07779999822378159,0.03999999910593033,0.05139999836683273,0.08829999715089798,0.03779999911785126,0.5146999955177307,0.039799999445676804,0.0982000008225441,0.12039999663829803,0.09319999814033508,0.09160000085830688,0.10450000315904617,0.09690000116825104,0.09910000115633011,0.10170000046491623,0.09369999915361404,0.10050000250339508,5.44857,-0.68808925
Belgium,0.06689999997615814,0.08569999784231186,0.0575999990105629,0.05490000173449516,0.10159999877214432,0.09539999812841415,0.08299999684095383,0.18410000205039978,0.16269999742507935,0.10809999704360962,0.019999999552965164,0.019500000402331352,0.029600000008940697,0.028999999165534973,0.01899999938905239,0.020999999716877937,0.02290000021457672,0.02879999950528145,0.7892000079154968,0.020999999716877937,0.08799999952316284,0.163100004196167,0.0812000036239624,0.07800000160932541,0.09539999812841415,0.08330000191926956,0.08449999988079071,0.14509999752044678,0.0851999968290329,0.09619999676942825,3.1762843,-1.4374441
Bulgaria,0.08910000324249268,0.27480000257492065,0.06289999932050705,0.06700000166893005,0.1168999969959259,0.0731000006198883,0.07989999651908875,0.07559999823570251,0.054999999701976776,0.10559999942779541,0.10180000215768814,0.049300000071525574,0.1768999993801117,0.14419999718666077,0.0803999975323677,0.09880000352859497,0.11240000277757645,0.06589999794960022,0.0957999974489212,0.07440000027418137,0.07909999787807465,0.37130001187324524,0.0560000017285347,0.05939999967813492,0.093299999833107,0.06419999897480011,0.06729999929666519,0.07829999923706055,0.04820000007748604,0.0828000009059906,-3.2620132,2.1576686
Czechia,0.14820000529289246,0.13840000331401825,0.07519999891519547,0.08399999886751175,0.13410000503063202,0.07970000058412552,0.08429999649524689,0.08749999850988388,0.06989999860525131,0.09880000352859497,0.4523000121116638,0.03530000150203705,0.07100000232458115,0.08399999886751175,0.04769999906420708,0.058400001376867294,0.058400001376867294,0.04910000041127205,0.09700000286102295,0.04690000042319298,0.11289999634027481,0.3041999936103821,0.06530000269412994,0.06260000169277191,0.08590000122785568,0.06830000132322311,0.07559999823570251,0.08079999685287476,0.05979999899864197,0.08460000157356262,-2.2450407,1.7720284
Cyprus,0.10419999808073044,0.08579999953508377,0.08919999748468399,0.08380000293254852,0.1266999989748001,0.1005999967455864,0.09929999709129333,0.09099999815225601,0.08969999849796295,0.12960000336170197,0.09989999979734421,0.07249999791383743,0.11190000176429749,0.11760000139474869,0.08169999718666077,0.10270000249147415,0.1120000034570694,0.08550000190734863,0.12409999966621399,0.09210000187158585,0.10599999874830246,0.1509999930858612,0.07729999721050262,0.07760000228881836,0.1151999980211258,0.08839999884366989,0.0934000015258789,0.10130000114440918,0.07289999723434448,0.1168999969959259,4.065582,0.24623385
Germany,0.08900000154972076,0.09570000320672989,0.0754999965429306,0.07029999792575836,0.14790000021457672,0.12349999696016312,0.10279999673366547,0.09040000289678574,0.08699999749660492,0.11779999732971191,0.04769999906420708,0.032099999487400055,0.08470000326633453,0.10119999945163727,0.05130000039935112,0.1534000039100647,0.07000000029802322,0.052400000393390656,0.35850000381469727,0.048700001090765,0.09600000083446503,0.14550000429153442,0.07909999787807465,0.0778999999165535,0.11840000003576279,0.09669999778270721,0.09939999878406525,0.10260000079870224,0.07940000295639038,0.10490000247955322,4.254232,-0.35421723
Denmark,0.07859999686479568,0.08500000089406967,0.06549999862909317,0.06849999725818634,0.13840000331401825,0.19110000133514404,0.10729999840259552,0.07970000058412552,0.08699999749660492,0.09910000115633011,0.07609999924898148,0.05550000071525574,0.08030000329017639,0.07989999651908875,0.0737999975681305,0.25699999928474426,0.12409999966621399,0.07620000094175339,0.10559999942779541,0.07150000333786011,0.09290000051259995,0.19670000672340393,0.07580000162124634,0.0786999985575676,0.10809999704360962,0.09099999815225601,0.09000000357627869,0.09300000220537186,0.07429999858140945,0.09960000216960907,1.5522026,0.5084495
Estonia,0.09520000219345093,0.10209999978542328,0.08529999852180481,0.08980000019073486,0.12809999287128448,0.10260000079870224,0.10830000042915344,0.09690000116825104,0.08190000057220459,0.10989999771118164,0.07329999655485153,0.04729999974370003,0.09260000288486481,0.22470000386238098,0.06279999762773514,0.10509999841451645,0.13169999420642853,0.06120000034570694,0.13189999759197235,0.06939999759197235,0.0868000015616417,0.2524999976158142,0.07400000095367432,0.07959999889135361,0.09130000323057175,0.08079999685287476,0.08370000123977661,0.08799999952316284,0.07720000296831131,0.0860000029206276,-0.85595083,1.4517554
Croatia,0.11150000244379044,0.1080000028014183,0.08910000324249268,0.08900000154972076,0.12700000405311584,0.09239999949932098,0.09969999641180038,0.08760000020265579,0.07909999787807465,0.11659999936819077,0.10970000177621841,0.03610000014305115,0.15189999341964722,0.4049000144004822,0.03840000182390213,0.0414000004529953,0.05090000107884407,0.04019999876618385,0.08500000089406967,0.041600000113248825,0.10530000180006027,0.12460000067949295,0.08990000188350677,0.09109999984502792,0.1096000000834465,0.09510000050067902,0.09679999947547913,0.09690000116825104,0.08579999953508377,0.10499999672174454,5.020554,-0.65273696
Finland,0.0940999984741211,0.12610000371932983,0.07779999822378159,0.0771000012755394,0.1315000057220459,0.10350000113248825,0.10760000348091125,0.09560000151395798,0.07259999960660934,0.11410000175237656,0.08240000158548355,0.07519999891519547,0.10830000042915344,0.09830000251531601,0.08540000021457672,0.16040000319480896,0.12240000069141388,0.07329999655485153,0.11490000039339066,0.07940000295639038,0.09239999949932098,0.1843000054359436,0.07530000060796738,0.07720000296831131,0.10729999840259552,0.09130000323057175,0.09080000221729279,0.10859999805688858,0.07490000128746033,0.09790000319480896,2.2516973,0.049885117
France,0.07959999889135361,0.10019999742507935,0.0746999979019165,0.06539999693632126,0.11680000275373459,0.0934000015258789,0.09049999713897705,0.2020999938249588,0.07660000026226044,0.1006999984383583,0.05959999933838844,0.043800000101327896,0.120899997651577,0.08060000091791153,0.05640000104904175,0.07800000160932541,0.06859999895095825,0.1981000006198883,0.23190000653266907,0.06199999898672104,0.026000000536441803,0.026499999687075615,0.03750000149011612,0.029500000178813934,0.026900000870227814,0.027400000020861626,0.028599999845027924,0.7337999939918518,0.03539999946951866,0.0284000001847744,3.0937974,-2.2693188
Malta,0.09470000118017197,0.09759999811649323,0.07999999821186066,0.0738999992609024,0.11320000141859055,0.10890000313520432,0.09139999747276306,0.12919999659061432,0.08150000125169754,0.1298000067472458,0.09920000284910202,0.07100000232458115,0.10369999706745148,0.0982000008225441,0.08290000259876251,0.12280000001192093,0.09690000116825104,0.08860000222921371,0.1273999959230423,0.10939999669790268,0.06970000267028809,0.3546000123023987,0.05700000002980232,0.06109999865293503,0.08139999955892563,0.06589999794960022,0.06459999829530716,0.10369999706745148,0.05820000171661377,0.08380000293254852,-3.1587615,1.8354788
Luxembourg,0.09799999743700027,0.11400000005960464,0.08699999749660492,0.08569999784231186,0.11569999903440475,0.09989999979734421,0.09929999709129333,0.1023000031709671,0.09139999747276306,0.10689999908208847,0.04560000076889992,0.03240000084042549,0.08699999749660492,0.08009999990463257,0.04470000043511391,0.07519999891519547,0.0625,0.04729999974370003,0.4799000024795532,0.04540000110864639,0.09929999709129333,0.12389999628067017,0.0869000032544136,0.08720000088214874,0.10949999839067459,0.0989999994635582,0.09860000014305115,0.10339999943971634,0.08780000358819962,0.10440000146627426,5.2306843,-0.14262553
Lithuania,0.09549999982118607,0.11240000277757645,0.07119999825954437,0.16590000689029694,0.12070000171661377,0.07909999787807465,0.08950000256299973,0.09059999883174896,0.06710000336170197,0.1080000028014183,0.024800000712275505,0.02419999986886978,0.030400000512599945,0.7576000094413757,0.024399999529123306,0.025499999523162842,0.026499999687075615,0.026900000870227814,0.03530000150203705,0.024299999698996544,0.06340000033378601,0.4697999954223633,0.050599999725818634,0.07599999755620956,0.06080000102519989,0.05290000140666962,0.05510000139474869,0.06830000132322311,0.04399999976158142,0.05909999832510948,-4.155598,2.55184
Italy,0.09309999644756317,0.1039000004529953,0.10570000112056732,0.0681999996304512,0.15109999477863312,0.0868000015616417,0.09860000014305115,0.0925000011920929,0.07819999754428864,0.12189999967813492,0.04619999974966049,0.03240000084042549,0.4456000030040741,0.07980000227689743,0.04529999941587448,0.05400000140070915,0.06599999964237213,0.06289999932050705,0.12160000205039978,0.04619999974966049,0.1031000018119812,0.14630000293254852,0.08150000125169754,0.07970000058412552,0.11879999935626984,0.08789999783039093,0.09369999915361404,0.10639999806880951,0.07460000365972519,0.10809999704360962,4.269629,0.0413448
Ireland,0.0892999991774559,0.09600000083446503,0.07919999957084656,0.08489999920129776,0.11420000344514847,0.15399999916553497,0.09669999778270721,0.08860000222921371,0.0860000029206276,0.11110000312328339,0.03889999911189079,0.024399999529123306,0.07999999821186066,0.06880000233650208,0.03180000185966492,0.4009999930858612,0.04560000076889992,0.03739999979734421,0.23360000550746918,0.038600001484155655,0.09300000220537186,0.19429999589920044,0.07150000333786011,0.07190000265836716,0.11320000141859055,0.09759999811649323,0.08879999816417694,0.0949999988079071,0.07119999825954437,0.10339999943971634,1.6090934,0.392438
Hungary,0.10019999742507935,0.10570000112056732,0.08810000121593475,0.0966000035405159,0.12080000340938568,0.09880000352859497,0.10119999945163727,0.09480000287294388,0.08449999988079071,0.10920000076293945,0.10909999907016754,0.06289999932050705,0.10490000247955322,0.1251000016927719,0.08179999887943268,0.11410000175237656,0.11720000207424164,0.08259999752044678,0.1120000034570694,0.09009999781847,0.0925000011920929,0.23109999299049377,0.0697999969124794,0.06880000233650208,0.10589999705553055,0.08160000294446945,0.08569999784231186,0.10189999639987946,0.06449999660253525,0.09839999675750732,-0.09841323,0.8057844
Spain,0.08150000125169754,0.08259999752044678,0.16820000112056732,0.10719999670982361,0.09430000185966492,0.09080000221729279,0.09679999947547913,0.08060000091791153,0.09809999912977219,0.09989999979734421,0.031199999153614044,0.02930000051856041,0.6712999939918518,0.044199999421834946,0.03280000016093254,0.03350000083446503,0.0348999984562397,0.03959999978542328,0.04800000041723251,0.03539999946951866,0.08760000020265579,0.164000004529953,0.08449999988079071,0.0681999996304512,0.14790000021457672,0.0754999965429306,0.08399999886751175,0.11259999871253967,0.06289999932050705,0.11270000040531158,3.6220083,1.1656748
Netherlands,0.07800000160932541,0.06639999896287918,0.08810000121593475,0.0731000006198883,0.08630000054836273,0.14229999482631683,0.10760000348091125,0.09430000185966492,0.1746000051498413,0.0892999991774559,0.07169999927282333,0.05739999935030937,0.09430000185966492,0.08550000190734863,0.07270000129938126,0.1274999976158142,0.10999999940395355,0.07400000095367432,0.22869999706745148,0.07819999754428864,0.08030000329017639,0.2304999977350235,0.06729999929666519,0.062199998646974564,0.10350000113248825,0.09260000288486481,0.09480000287294388,0.10540000349283218,0.06719999760389328,0.09610000252723694,0.048468508,1.1966867
Poland,0.10540000349283218,0.10400000214576721,0.08910000324249268,0.09279999881982803,0.11089999973773956,0.09489999711513519,0.11349999904632568,0.08760000020265579,0.08299999684095383,0.11860000342130661,0.08190000057220459,0.031599998474121094,0.10779999941587448,0.18170000612735748,0.039500001817941666,0.06069999933242798,0.2542000114917755,0.045499999076128006,0.13289999961853027,0.06419999897480011,0.09210000187158585,0.3517000079154968,0.05700000002980232,0.05999999865889549,0.08420000225305557,0.06239999830722809,0.07180000096559525,0.0868000015616417,0.05090000107884407,0.08309999853372574,-2.9272275,2.105705
Portugal,0.09130000323057175,0.06939999759197235,0.13860000669956207,0.07090000063180923,0.11620000004768372,0.10329999774694443,0.10000000149011612,0.08229999989271164,0.09510000050067902,0.13279999792575836,0.04670000076293945,0.028999999165534973,0.5016000270843506,0.07150000333786011,0.03819999843835831,0.04479999840259552,0.04399999976158142,0.035999998450279236,0.1485999971628189,0.039500001817941666,0.09790000319480896,0.163100004196167,0.08799999952316284,0.08179999887943268,0.1111999973654747,0.09070000052452087,0.09130000323057175,0.09229999780654907,0.07639999687671661,0.10740000009536743,3.4423747,0.016363872
Romania,0.10140000283718109,0.13339999318122864,0.0786999985575676,0.06889999657869339,0.14249999821186066,0.0892999991774559,0.10100000351667404,0.09070000052452087,0.06920000165700912,0.125,0.09570000320672989,0.04639999940991402,0.15379999577999115,0.1665000021457672,0.06480000168085098,0.08380000293254852,0.11969999969005585,0.06069999933242798,0.13580000400543213,0.07270000129938126,0.09510000050067902,0.21690000593662262,0.07129999995231628,0.07320000231266022,0.1046999990940094,0.0820000022649765,0.08959999680519104,0.09510000050067902,0.06909999996423721,0.10300000011920929,0.6383731,0.86535
Sweden,0.09229999780654907,0.12150000035762787,0.0746999979019165,0.07329999655485153,0.155799999833107,0.10480000078678131,0.1023000031709671,0.09109999984502792,0.07339999824762344,0.11089999973773956,0.05939999967813492,0.03849999979138374,0.0892999991774559,0.11400000005960464,0.05420000106096268,0.20909999310970306,0.09109999984502792,0.05220000073313713,0.24160000681877136,0.05050000175833702,0.08560000360012054,0.21369999647140503,0.06430000066757202,0.062199998646974564,0.13840000331401825,0.08590000122785568,0.0835999995470047,0.10649999976158142,0.06109999865293503,0.09880000352859497,0.3359207,0.024343949
Slovenia,0.10270000249147415,0.08739999681711197,0.07940000295639038,0.0860000029206276,0.20960000157356262,0.08299999684095383,0.09080000221729279,0.07029999792575836,0.08659999817609787,0.10419999808073044,0.0949999988079071,0.06210000067949295,0.12809999287128448,0.17550000548362732,0.0917000025510788,0.08810000121593475,0.09189999848604202,0.0697999969124794,0.11890000104904175,0.07890000194311142,0.09000000357627869,0.24449999630451202,0.06620000302791595,0.06650000065565109,0.11209999769926071,0.07129999995231628,0.08269999921321869,0.11569999903440475,0.06199999898672104,0.08900000154972076,-0.6813449,0.7130962
Slovakia,0.10599999874830246,0.13699999451637268,0.08009999990463257,0.08110000193119049,0.13259999454021454,0.09290000051259995,0.09459999948740005,0.09139999747276306,0.07819999754428864,0.10610000044107437,0.2345999926328659,0.04439999908208847,0.10140000283718109,0.13439999520778656,0.0754999965429306,0.07000000029802322,0.09740000218153,0.08720000088214874,0.07280000299215317,0.08229999989271164,0.06859999895095825,0.48179998993873596,0.05790000036358833,0.05719999969005585,0.05700000002980232,0.05169999971985817,0.05609999969601631,0.05779999867081642,0.0575999990105629,0.05429999902844429,-4.2630143,2.5753448
