country,0,1,2,3,4,5,6,7,8,c1,c2
Austria,0.3052999973297119,0.2809999883174896,0.41370001435279846,0.23849999904632568,0.34209999442100525,0.41940000653266907,0.7350999712944031,0.13899999856948853,0.125900000333786,1.7708067,-3.1706834
Belgium,0.24529999494552612,0.4287000000476837,0.32600000500679016,0.13199999928474426,0.4778999984264374,0.38999998569488525,0.7718999981880188,0.1145000010728836,0.1136000007390976,1.8450909,-4.830369
Bulgaria,0.352400004863739,0.23579999804496765,0.4117000102996826,0.06880000233650208,0.16699999570846558,0.76419997215271,0.8787999749183655,0.05920000001788139,0.061900001019239426,2.3274877,-8.276126
Czechia,0.4043000042438507,0.16670000553131104,0.42899999022483826,0.11879999935626984,0.5034999847412109,0.37770000100135803,0.7723000049591064,0.07819999754428864,0.14959999918937683,0.64905,-5.294763
Cyprus,0.2353000044822693,0.39629998803138733,0.3684000074863434,0.15279999375343323,0.5001000165939331,0.34709998965263367,0.555400013923645,0.22450000047683716,0.22010000050067902,0.58167505,2.424805
Germany,0.14790000021457672,0.7148000001907349,0.13729999959468842,0.0348999984562397,0.8959000110626221,0.06930000334978104,0.7874000072479248,0.10689999908208847,0.10570000112056732,1.896848,-5.606612
Denmark,0.2565000057220459,0.6480000019073486,0.09549999982118607,0.1973000019788742,0.6638000011444092,0.1388999968767166,0.6951000094413757,0.15360000729560852,0.15129999816417694,1.4179286,-1.445453
Estonia,0.2418999969959259,0.5019000172615051,0.25609999895095825,0.0925000011920929,0.7763000130653381,0.13120000064373016,0.589900016784668,0.23749999701976776,0.17260000109672546,1.093175,2.8634813
Croatia,0.15309999883174896,0.4609000086784363,0.38600000739097595,0.21649999916553497,0.33489999175071716,0.44859999418258667,0.5878999829292297,0.23070000112056732,0.18140000104904175,1.5052102,2.36814
Finland,0.36079999804496765,0.40139999985694885,0.2378000020980835,0.12770000100135803,0.6988000273704529,0.17350000143051147,0.7504000067710876,0.11749999970197678,0.13199999928474426,1.33522,-3.98885
France,0.33709999918937683,0.33320000767707825,0.3296000063419342,0.30979999899864197,0.3659000098705292,0.32429999113082886,0.667900025844574,0.09989999979734421,0.2321999967098236,2.25983,0.15806764
Malta,0.24580000340938568,0.3831000030040741,0.3711000084877014,0.0406000018119812,0.8761000037193298,0.08330000191926956,0.5960000157356262,0.1768999993801117,0.22699999809265137,0.944054,1.511133
Luxembourg,0.27900001406669617,0.4302000105381012,0.290800005197525,0.12269999831914902,0.692799985408783,0.18449999392032623,0.5738999843597412,0.2653999924659729,0.1606999933719635,1.7192831,3.122361
Lithuania,0.24549999833106995,0.21619999408721924,0.5382999777793884,0.11010000109672546,0.3666999936103821,0.5231999754905701,0.6563000082969666,0.14730000495910645,0.1964000016450882,1.5226061,0.14212853
Latvia,0.4916999936103821,0.2206999957561493,0.28760001063346863,0.16599999368190765,0.20469999313354492,0.6292999982833862,0.6776999831199646,0.15479999780654907,0.16750000417232513,1.4588245,-0.69313693
Italy,0.14800000190734863,0.14489999413490295,0.7071999907493591,0.09589999914169312,0.47540000081062317,0.4287000000476837,0.7254999876022339,0.1378999948501587,0.13660000264644623,1.4775872,-2.645579
Ireland,0.1412999927997589,0.7008000016212463,0.15780000388622284,0.09220000356435776,0.7542999982833862,0.1535000056028366,0.8269000053405762,0.09120000153779984,0.08190000057220459,2.3507087,-7.080881
Hungary,0.2004999965429306,0.08560000360012054,0.7139000296592712,0.04360000044107437,0.039500001817941666,0.9168999791145325,0.8517000079154968,0.04580000042915344,0.10239999741315842,1.5796634,-7.835793
Spain,0.45010000467300415,0.3224000036716461,0.22750000655651093,0.08789999783039093,0.6632000207901001,0.24889999628067017,0.5566999912261963,0.31520000100135803,0.12809999287128448,1.5161012,3.813137
Netherlands,0.477400004863739,0.26980000734329224,0.25279998779296875,0.31520000100135803,0.41920000314712524,0.2655999958515167,0.8098000288009644,0.09889999777078629,0.09130000323057175,2.2364666,-6.4772444
Poland,0.3901999890804291,0.12600000202655792,0.4837999939918518,0.06310000270605087,0.06469999998807907,0.8723000288009644,0.92330002784729,0.0284000001847744,0.04830000177025795,2.0173893,-8.870949
Portugal,0.310699999332428,0.3472999930381775,0.34200000762939453,0.06449999660253525,0.6966999769210815,0.23880000412464142,0.756600022315979,0.15459999442100525,0.08879999816417694,2.658089,-3.953131
Romania,0.2689000070095062,0.3447999954223633,0.3862999975681305,0.13169999420642853,0.508899986743927,0.3594000041484833,0.6740999817848206,0.19499999284744263,0.13089999556541443,0.6488129,-0.8802636
Sweden,0.11379999667406082,0.6845999956130981,0.20160000026226044,0.07180000096559525,0.8199999928474426,0.10819999873638153,0.7893000245094299,0.11050000041723251,0.10019999742507935,2.5064092,-5.584867
Slovenia,0.4156000018119812,0.20020000636577606,0.38420000672340393,0.28929999470710754,0.3944000005722046,0.31630000472068787,0.7921000123023987,0.0835999995470047,0.1242000013589859,1.1800843,-6.0602226
Slovakia,0.04960000142455101,0.1574999988079071,0.7929999828338623,0.09130000323057175,0.17569999396800995,0.7329999804496765,0.48339998722076416,0.11659999936819077,0.4000000059604645,-0.6036817,1.660522
