country,0,1,2,3,c1,c2
Austria,0.10740000009536743,0.0746999979019165,0.09830000251531601,0.7196000218391418,-5.731102,1.0764159
Belgium,0.3815999925136566,0.0681999996304512,0.47920000553131104,0.07090000063180923,2.9683163,0.32389244
Bulgaria,0.120899997651577,0.1746000051498413,0.06849999725818634,0.6359999775886536,-4.865464,1.4874325
Czechia,0.06970000267028809,0.8208000063896179,0.046799998730421066,0.06270000338554382,-0.55209625,5.7524285
Cyprus,0.10930000245571136,0.09380000084638596,0.09489999711513519,0.7020000219345093,-5.33421,0.96741253
Germany,0.08760000020265579,0.6359000205993652,0.19220000505447388,0.08429999649524689,-0.17624855,5.0512276
Denmark,0.08370000123977661,0.0786999985575676,0.7353000044822693,0.1023000031709671,4.430123,1.5388236
Estonia,0.15700000524520874,0.3474000096321106,0.3084999918937683,0.18709999322891235,-0.031922847,2.982803
Croatia,0.04989999905228615,0.06920000165700912,0.04179999977350235,0.8391000032424927,-6.1304035,1.5713062
Finland,0.12049999833106995,0.12269999831914902,0.6435999870300293,0.11320000141859055,3.8565183,1.4133222
France,0.8198999762535095,0.05079999938607216,0.06719999760389328,0.06210000067949295,-1.1350327,-0.9785851
Malta,0.11959999799728394,0.5162000060081482,0.16110000014305115,0.20309999585151672,-0.31480196,4.130602
Luxembourg,0.1565999984741211,0.13030000030994415,0.5400999784469604,0.17309999465942383,3.4029276,0.9127915
Lithuania,0.18490000069141388,0.44359999895095825,0.14110000431537628,0.23029999434947968,-0.98193216,3.4633877
Latvia,0.2045000046491623,0.486299991607666,0.14319999516010284,0.16599999368190765,-0.9751384,4.05913
Italy,0.16509999334812164,0.06689999997615814,0.05959999933838844,0.7085000276565552,-5.418786,1.8148448
Ireland,0.1080000028014183,0.08560000360012054,0.6966999769210815,0.10970000177621841,4.2135386,0.72243136
Hungary,0.22139999270439148,0.3287999927997589,0.12610000371932983,0.3237000107765198,-1.7336022,2.6092038
Greece,0.2590999901294708,0.23909999430179596,0.12639999389648438,0.37540000677108765,-2.6896727,2.0238051
Spain,0.4465999901294708,0.10199999809265137,0.0674000009894371,0.3840000033378601,-2.7740796,0.7095537
Netherlands,0.07360000163316727,0.06129999831318855,0.8095999956130981,0.05550000071525574,4.820804,1.0492108
Poland,0.19740000367164612,0.3093000054359436,0.11649999767541885,0.376800000667572,-2.3698964,2.6699038
Portugal,0.8281999826431274,0.059300001710653305,0.050200000405311584,0.062300000339746475,-1.1420565,-0.9516089
Romania,0.36649999022483826,0.11079999804496765,0.0568000003695488,0.4657999873161316,-3.2685692,1.0006429
Sweden,0.148499995470047,0.18690000474452972,0.5285999774932861,0.13600000739097595,3.1261828,1.2828664
Slovenia,0.16110000014305115,0.567799985408783,0.10970000177621841,0.16140000522136688,-0.9376305,4.7333055
Slovakia,0.26750001311302185,0.273499995470047,0.09130000323057175,0.3675999939441681,-2.2535846,1.94307
