country,0,1,2,3,4,5,6,7,8,9,c1,c2
austria,0.09910000115633011,0.09809999912977219,0.10119999945163727,0.10189999639987946,0.09910000115633011,0.10260000079870224,0.10050000250339508,0.09860000014305115,0.09870000183582306,0.10029999911785126,-17.49925,-1.7443099
belgium,0.10509999841451645,0.09740000218153,0.09989999979734421,0.10170000046491623,0.09889999777078629,0.09920000284910202,0.10019999742507935,0.0989999994635582,0.09619999676942825,0.10239999741315842,5.2792635,-29.882473
bulgaria,0.09740000218153,0.1039000004529953,0.10199999809265137,0.10239999741315842,0.10000000149011612,0.09730000048875809,0.09910000115633011,0.10180000215768814,0.09759999811649323,0.09849999845027924,-52.693123,-3.472139
croatia,0.09790000319480896,0.10320000350475311,0.09740000218153,0.10220000147819519,0.09839999675750732,0.10270000249147415,0.10050000250339508,0.0982000008225441,0.10010000318288803,0.09939999878406525,-25.698406,14.353042
denmark,0.09929999709129333,0.09489999711513519,0.10000000149011612,0.0934000015258789,0.09809999912977219,0.10119999945163727,0.1080000028014183,0.10209999978542328,0.11259999871253967,0.09049999713897705,57.40699,-11.55688
estonia,0.09790000319480896,0.0982000008225441,0.1031000018119812,0.1005999967455864,0.10170000046491623,0.10509999841451645,0.09430000185966492,0.10010000318288803,0.09910000115633011,0.10000000149011612,-18.708908,38.73766
finland,0.10109999775886536,0.09709999710321426,0.09809999912977219,0.10119999945163727,0.09939999878406525,0.09910000115633011,0.1006999984383583,0.10490000247955322,0.09989999979734421,0.09849999845027924,6.091832,-4.573759
france,0.1005999967455864,0.10040000081062317,0.09849999845027924,0.1006999984383583,0.09629999846220016,0.10109999775886536,0.10350000113248825,0.10040000081062317,0.09730000048875809,0.10119999945163727,-17.143492,-17.857542
germany,0.10509999841451645,0.09860000014305115,0.09570000320672989,0.09809999912977219,0.09640000015497208,0.10499999672174454,0.09929999709129333,0.10019999742507935,0.1014999970793724,0.10000000149011612,34.04642,-3.8454278
greece,0.09740000218153,0.10199999809265137,0.09939999878406525,0.1023000031709671,0.1005999967455864,0.09889999777078629,0.10130000114440918,0.10279999673366547,0.0982000008225441,0.09719999879598618,-37.797577,-7.9210176
hungary,0.10040000081062317,0.09939999878406525,0.10090000182390213,0.09969999641180038,0.10010000318288803,0.09799999743700027,0.0966000035405159,0.10409999638795853,0.10029999911785126,0.1005999967455864,12.36313,10.387555
ireland,0.0982000008225441,0.10140000283718109,0.10350000113248825,0.09749999642372131,0.09880000352859497,0.09860000014305115,0.10090000182390213,0.10090000182390213,0.09809999912977219,0.10209999978542328,-48.351025,13.593447
latvia,0.10090000182390213,0.09629999846220016,0.10360000282526016,0.10239999741315842,0.09989999979734421,0.09769999980926514,0.10010000318288803,0.09929999709129333,0.09690000116825104,0.10300000011920929,-10.4329605,-38.375942
malta,0.10279999673366547,0.11029999703168869,0.10000000149011612,0.09560000151395798,0.1014999970793724,0.09610000252723694,0.09380000084638596,0.09610000252723694,0.10320000350475311,0.10050000250339508,25.285975,49.470566
portugal,0.09749999642372131,0.09860000014305115,0.09679999947547913,0.0989999994635582,0.10220000147819519,0.10199999809265137,0.0982000008225441,0.1006999984383583,0.10289999842643738,0.10220000147819519,-0.5695356,26.600014
slovakia,0.10199999809265137,0.10220000147819519,0.10019999742507935,0.09629999846220016,0.09589999914169312,0.10239999741315842,0.09220000356435776,0.10000000149011612,0.10320000350475311,0.1054999977350235,31.817427,29.14748
slovenia,0.0934000015258789,0.09910000115633011,0.10450000315904617,0.10029999911785126,0.10899999737739563,0.10040000081062317,0.11500000208616257,0.09059999883174896,0.09210000187158585,0.09570000320672989,-52.63914,-44.524136
spain,0.10040000081062317,0.09910000115633011,0.09860000014305115,0.10220000147819519,0.1005999967455864,0.10109999775886536,0.09969999641180038,0.09939999878406525,0.10000000149011612,0.0989999994635582,-8.487806,8.816467
sweden,0.09910000115633011,0.10159999877214432,0.10090000182390213,0.09889999777078629,0.1046999990940094,0.09440000355243683,0.10350000113248825,0.09950000047683716,0.09719999879598618,0.10029999911785126,-54.971447,-24.237152
the_netherlands,0.1054999977350235,0.09709999710321426,0.09740000218153,0.10010000318288803,0.09880000352859497,0.1005999967455864,0.09619999676942825,0.10180000215768814,0.09920000284910202,0.10329999774694443,22.424307,-18.445932
