country,0,1,2,3,4,5,6,7,8,c1,c2
Austria,0.37459999322891235,0.195700004696846,0.42980000376701355,0.4311000108718872,0.40130001306533813,0.16769999265670776,0.2037999927997589,0.1873999983072281,0.6087999939918518,0.78050303,15.057092
Belgium,0.2515000104904175,0.3402000069618225,0.4083000123500824,0.017500000074505806,0.9546999931335449,0.027899999171495438,0.09120000153779984,0.17870000004768372,0.7300999760627747,-2.4107459,-30.995955
Bulgaria,0.46939998865127563,0.20309999585151672,0.32749998569488525,0.6111000180244446,0.2897000014781952,0.09920000284910202,0.1639000028371811,0.163100004196167,0.6729999780654907,5.604769,-8.595329
Czechia,0.516700029373169,0.16979999840259552,0.31349998712539673,0.5722000002861023,0.3140999972820282,0.1137000024318695,0.12240000069141388,0.12559999525547028,0.7519999742507935,13.323941,-35.848522
Cyprus,0.37450000643730164,0.2125999927520752,0.41290000081062317,0.5321000218391418,0.392300009727478,0.07569999992847443,0.1745000034570694,0.17579999566078186,0.6496000289916992,4.070939,-0.36052096
Germany,0.4903999865055084,0.20630000531673431,0.30329999327659607,0.5314000248908997,0.3855000138282776,0.08309999853372574,0.24570000171661377,0.2102999985218048,0.5440000295639038,6.35999,31.581116
Denmark,0.44929999113082886,0.2126999944448471,0.33799999952316284,0.40799999237060547,0.47679999470710754,0.1151999980211258,0.20000000298023224,0.17970000207424164,0.6202999949455261,6.2629333,8.189286
Estonia,0.3882000148296356,0.16760000586509705,0.4442000091075897,0.5335000157356262,0.32280001044273376,0.1437000036239624,0.24150000512599945,0.20350000262260437,0.5551000237464905,-4.8021584,24.743958
Croatia,0.45239999890327454,0.22679999470710754,0.3206999897956848,0.23980000615119934,0.6965000033378601,0.06369999796152115,0.2337999939918518,0.20360000431537628,0.5626999735832214,9.318755,24.627975
Finland,0.39890000224113464,0.19670000672340393,0.4043999910354614,0.48179998993873596,0.3635999858379364,0.15459999442100525,0.28360000252723694,0.25040000677108765,0.4659999907016754,-4.9661217,38.59944
France,0.3124000132083893,0.22040000557899475,0.4672999978065491,0.2013999968767166,0.6115999817848206,0.18690000474452972,0.08780000358819962,0.1062999963760376,0.805899977684021,2.3133862,-49.930202
Malta,0.30169999599456787,0.2079000025987625,0.4903999865055084,0.44920000433921814,0.38190001249313354,0.1688999980688095,0.24459999799728394,0.2159000039100647,0.5394999980926514,-0.69670635,30.84865
Luxembourg,0.3012000024318695,0.22869999706745148,0.4699999988079071,0.42160001397132874,0.4643999934196472,0.11400000005960464,0.13099999725818634,0.13220000267028809,0.7368000149726868,8.235033,-30.827532
Lithuania,0.37529999017715454,0.2784000039100647,0.34630000591278076,0.5612999796867371,0.3133000135421753,0.12540000677108765,0.2973000109195709,0.23880000412464142,0.46389999985694885,2.0772414,40.576572
Latvia,0.3785000145435333,0.257999986410141,0.36340001225471497,0.4287000000476837,0.4287000000476837,0.14259999990463257,0.14910000562667847,0.15070000290870667,0.7002000212669373,10.08333,-16.799269
Italy,0.36570000648498535,0.1987999975681305,0.43540000915527344,0.3393000066280365,0.5839999914169312,0.07670000195503235,0.10520000010728836,0.11699999868869781,0.7778000235557556,8.5016365,-45.309998
Ireland,0.3817000091075897,0.2921000123023987,0.326200008392334,0.450300008058548,0.4487000107765198,0.10100000351667404,0.20839999616146088,0.17579999566078186,0.6158000230789185,-1.1301142,8.585028
Hungary,0.47040000557899475,0.2345999926328659,0.29499998688697815,0.5490999817848206,0.3052000105381012,0.14560000598430634,0.1460999995470047,0.14480000734329224,0.7091000080108643,7.279629,-23.099873
Spain,0.44449999928474426,0.23960000276565552,0.3158999979496002,0.12530000507831573,0.8008000254631042,0.0738999992609024,0.13339999318122864,0.11729999631643295,0.7493000030517578,6.1496754,-37.734886
Netherlands,0.46779999136924744,0.226500004529953,0.3057999908924103,0.28380000591278076,0.5703999996185303,0.14579999446868896,0.15680000185966492,0.14640000462532043,0.6967999935150146,2.735856,-15.920584
Poland,0.391400009393692,0.2125999927520752,0.3959999978542328,0.5401999950408936,0.3224000036716461,0.13740000128746033,0.09220000356435776,0.10760000348091125,0.8001999855041504,8.597691,-54.035416
Portugal,0.5065000057220459,0.21729999780654907,0.27619999647140503,0.37439998984336853,0.5182999968528748,0.10719999670982361,0.10719999670982361,0.12250000238418579,0.7703999876976013,15.327997,-42.867165
Romania,0.3352999985218048,0.2160000056028366,0.4487000107765198,0.5389999747276306,0.3314000070095062,0.12970000505447388,0.20409999787807465,0.1891999989748001,0.6068000197410583,8.030228,15.132153
Sweden,0.4526999890804291,0.18709999322891235,0.3601999878883362,0.5239999890327454,0.3898000121116638,0.08619999885559082,0.22360000014305115,0.21230000257492065,0.5641999840736389,2.3708432,23.437008
Slovenia,0.4438000023365021,0.25619998574256897,0.30000001192092896,0.11739999800920486,0.7932000160217285,0.08940000087022781,0.09260000288486481,0.11089999973773956,0.796500027179718,15.100431,-50.73521
Slovakia,0.44029998779296875,0.19509999454021454,0.3646000027656555,0.4586000144481659,0.4681999981403351,0.07320000231266022,0.12960000336170197,0.1679999977350235,0.7024000287055969,-0.47283238,-22.867432
