country,0,1,2,3,4,5,6,7,c1,c2
Austria,0.08540000021457672,0.1145000010728836,0.09749999642372131,0.08969999849796295,0.09189999848604202,0.22169999778270721,0.12870000302791595,0.17059999704360962,6.4776,38.161602
Belgium,0.10090000182390213,0.06469999998807907,0.05429999902844429,0.05469999834895134,0.09470000118017197,0.05979999899864197,0.06700000166893005,0.5038999915122986,59.889133,60.032326
Bulgaria,0.038100000470876694,0.03530000150203705,0.03759999945759773,0.04479999840259552,0.04360000044107437,0.03240000084042549,0.7426999807357788,0.025499999523162842,2.7487526,-43.631382
Czechia,0.043800000101327896,0.03269999846816063,0.03590000048279762,0.04390000179409981,0.03720000013709068,0.7314000129699707,0.041999999433755875,0.03310000151395798,-13.195111,88.72457
Cyprus,0.0272000003606081,0.026900000870227814,0.817300021648407,0.03359999880194664,0.02459999918937683,0.021900000050663948,0.02370000071823597,0.024800000712275505,-61.84959,10.386444
Germany,0.05719999969005585,0.0722000002861023,0.08609999716281891,0.11649999767541885,0.05350000038743019,0.4921000003814697,0.051600001752376556,0.07079999893903732,-12.228458,71.84274
Denmark,0.13670000433921814,0.11800000071525574,0.13600000739097595,0.09629999846220016,0.09359999746084213,0.19329999387264252,0.11330000311136246,0.11299999803304672,-17.716919,13.368723
Estonia,0.05009999871253967,0.03610000014305115,0.046300001442432404,0.042100001126527786,0.691100001335144,0.051899999380111694,0.04520000144839287,0.03720000013709068,63.429626,-47.50866
Croatia,0.09319999814033508,0.13809999823570251,0.12759999930858612,0.10209999978542328,0.11379999667406082,0.1965000033378601,0.11349999904632568,0.1151999980211258,-4.5524416,25.378712
Finland,0.09390000253915787,0.14270000159740448,0.11590000241994858,0.1281999945640564,0.17409999668598175,0.11379999667406082,0.14169999957084656,0.08990000188350677,13.303836,17.243027
France,0.1290999948978424,0.14920000731945038,0.08720000088214874,0.06920000165700912,0.07180000096559525,0.06589999794960022,0.12319999933242798,0.3043000102043152,45.419155,24.565992
Malta,0.5866000056266785,0.065700002014637,0.13940000534057617,0.08309999853372574,0.0333000011742115,0.027899999171495438,0.030500000342726707,0.03359999880194664,-50.224575,-35.425964
Luxembourg,0.04439999908208847,0.05119999870657921,0.06620000302791595,0.06419999897480011,0.052400000393390656,0.05310000106692314,0.039799999445676804,0.6287000179290771,76.09225,54.432163
Lithuania,0.037300001829862595,0.036400001496076584,0.03689999878406525,0.06419999897480011,0.7069000005722046,0.04259999841451645,0.0430000014603138,0.03269999846816063,75.357254,-40.478188
Latvia,0.05550000071525574,0.09740000218153,0.08330000191926956,0.11590000241994858,0.288100004196167,0.05950000137090683,0.060600001364946365,0.23970000445842743,29.00157,54.618843
Italy,0.15719999372959137,0.05770000070333481,0.08429999649524689,0.17720000445842743,0.057999998331069946,0.13300000131130219,0.20499999821186066,0.12759999930858612,12.565472,-5.345757
Ireland,0.048500001430511475,0.7512000203132629,0.038100000470876694,0.03460000082850456,0.033399999141693115,0.03099999949336052,0.034699998795986176,0.02850000001490116,72.75086,8.374933
Hungary,0.048900000751018524,0.5300999879837036,0.061400000005960464,0.09929999709129333,0.0731000006198883,0.06159999966621399,0.06920000165700912,0.05640000104904175,-43.82941,54.92637
Greece,0.16519999504089355,0.06870000064373016,0.10890000313520432,0.08290000259876251,0.09130000323057175,0.2581999897956848,0.12950000166893005,0.09539999812841415,-23.433762,30.951054
Spain,0.11240000277757645,0.0640999972820282,0.12300000339746475,0.12189999967813492,0.07199999690055847,0.08169999718666077,0.07769999653100967,0.34709998965263367,49.541187,41.616947
Netherlands,0.06880000233650208,0.0771000012755394,0.43320000171661377,0.06909999996423721,0.07190000265836716,0.11289999634027481,0.07689999788999557,0.09019999951124191,-43.048885,7.025415
Poland,0.020099999383091927,0.016100000590085983,0.023900000378489494,0.8676000237464905,0.020400000736117363,0.01889999955892563,0.016599999740719795,0.016499999910593033,36.535103,-9.571047
Portugal,0.7340999841690063,0.03009999915957451,0.030500000342726707,0.029400000348687172,0.05220000073313713,0.04639999940991402,0.04569999873638153,0.03150000050663948,-52.313877,-48.996155
Romania,0.08370000123977661,0.06679999828338623,0.04780000075697899,0.05510000139474869,0.05770000070333481,0.17919999361038208,0.4519999921321869,0.0575999990105629,-2.093351,-27.045486
Sweden,0.14890000224113464,0.08160000294446945,0.13449999690055847,0.09309999644756317,0.10090000182390213,0.11810000240802765,0.16130000352859497,0.1615999937057495,-1.9359461,4.8429403
Slovenia,0.07940000295639038,0.07519999891519547,0.0868000015616417,0.14710000157356262,0.14810000360012054,0.12129999697208405,0.09080000221729279,0.25130000710487366,28.668251,34.980484
Slovakia,0.06729999929666519,0.16519999504089355,0.08659999817609787,0.18549999594688416,0.0778999999165535,0.24500000476837158,0.1120000034570694,0.060499999672174454,-11.132303,46.58492
