country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,c1,c2
Austria,0.15649999678134918,0.1509000062942505,0.13699999451637268,0.13770000636577606,0.12409999966621399,0.12800000607967377,0.1657000035047531,0.1451999992132187,0.19220000505447388,0.155799999833107,0.17739999294281006,0.09679999947547913,0.1062999963760376,0.12639999389648438,0.14139999449253082,0.13860000669956207,0.1387999951839447,0.13420000672340393,0.15209999680519104,0.1468999981880188,0.14790000021457672,-3.9246554,0.8613067
Belgium,0.16760000586509705,0.18970000743865967,0.15080000460147858,0.16609999537467957,0.08139999955892563,0.09809999912977219,0.14640000462532043,0.09529999643564224,0.17229999601840973,0.164900004863739,0.36660000681877136,0.061400000005960464,0.0658000037074089,0.07360000163316727,0.13729999959468842,0.12049999833106995,0.15410000085830688,0.1282999962568283,0.1535000056028366,0.15330000221729279,0.15299999713897705,-3.538525,1.1902857
Bulgaria,0.1979999989271164,0.10769999772310257,0.09989999979734421,0.11180000007152557,0.17890000343322754,0.17509999871253967,0.12849999964237213,0.14720000326633453,0.1388999968767166,0.10459999740123749,0.34200000762939453,0.08780000358819962,0.09549999982118607,0.08399999886751175,0.0966000035405159,0.07590000331401825,0.09870000183582306,0.08129999786615372,0.4156999886035919,0.12860000133514404,0.1031000018119812,-7.1323442,-4.8069935
Czechia,0.1678999960422516,0.1177000030875206,0.1031000018119812,0.08990000188350677,0.10520000010728836,0.2992999851703644,0.1168999969959259,0.18520000576972961,0.2062000036239624,0.12470000237226486,0.11209999769926071,0.09319999814033508,0.17960000038146973,0.09889999777078629,0.057500001043081284,0.053700000047683716,0.0649000033736229,0.05609999969601631,0.5253000259399414,0.18790000677108765,0.05460000038146973,-8.337806,-5.2656302
Cyprus,0.1551000028848648,0.16259999573230743,0.12999999523162842,0.14800000190734863,0.10249999910593033,0.10689999908208847,0.1949000060558319,0.15139999985694885,0.19059999287128448,0.13750000298023224,0.1632000058889389,0.10209999978542328,0.10670000314712524,0.14839999377727509,0.13779999315738678,0.13729999959468842,0.13860000669956207,0.13169999420642853,0.1624000072479248,0.1445000022649765,0.147599995136261,-4.0043883,0.55080825
Germany,0.15309999883174896,0.24060000479221344,0.1234000027179718,0.11860000342130661,0.09640000015497208,0.11580000072717667,0.15209999680519104,0.09470000118017197,0.48980000615119934,0.09279999881982803,0.11490000039339066,0.057999998331069946,0.07750000059604645,0.07240000367164612,0.13699999451637268,0.1412999927997589,0.13760000467300415,0.1298999935388565,0.15790000557899475,0.14350000023841858,0.15289999544620514,-3.218708,0.6999675
Denmark,0.17990000545978546,0.14229999482631683,0.1370999962091446,0.11209999769926071,0.10050000250339508,0.13420000672340393,0.19380000233650208,0.15289999544620514,0.21209999918937683,0.14399999380111694,0.13750000298023224,0.09510000050067902,0.11180000007152557,0.14669999480247498,0.12729999423027039,0.11400000005960464,0.13019999861717224,0.10769999772310257,0.18639999628067017,0.15970000624656677,0.17470000684261322,-3.333783,-0.44998866
Estonia,0.1826999932527542,0.14149999618530273,0.12720000743865967,0.11299999803304672,0.1088000014424324,0.12120000272989273,0.20550000667572021,0.1656000018119812,0.1899999976158142,0.15039999783039093,0.12710000574588776,0.1054999977350235,0.11540000140666962,0.1460999995470047,0.10809999704360962,0.0877000018954277,0.10109999775886536,0.07880000025033951,0.32749998569488525,0.13830000162124634,0.15839999914169312,-5.864889,-3.1866086
Croatia,0.16030000150203705,0.1412999927997589,0.12690000236034393,0.13089999556541443,0.1379999965429306,0.15060000121593475,0.15199999511241913,0.1462000012397766,0.1826999932527542,0.12780000269412994,0.17749999463558197,0.10729999840259552,0.11840000003576279,0.14020000398159027,0.10140000283718109,0.08309999853372574,0.10350000113248825,0.08370000123977661,0.288100004196167,0.21130000054836273,0.12890000641345978,-4.7414265,-2.9925723
Finland,0.18170000612735748,0.1468999981880188,0.12439999729394913,0.11100000143051147,0.11339999735355377,0.13210000097751617,0.19059999287128448,0.16259999573230743,0.1965000033378601,0.13459999859333038,0.1281999945640564,0.11140000075101852,0.12030000239610672,0.14640000462532043,0.13940000534057617,0.1160999983549118,0.13410000503063202,0.10920000076293945,0.17739999294281006,0.16339999437332153,0.16019999980926514,-3.5747688,-0.24421403
France,0.1444000005722046,0.14190000295639038,0.16060000658035278,0.15189999341964722,0.12999999523162842,0.13210000097751617,0.13910000026226044,0.13760000467300415,0.1444000005722046,0.20000000298023224,0.16410000622272491,0.11659999936819077,0.10970000177621841,0.12770000100135803,0.041099999099969864,0.0333000011742115,0.725600004196167,0.08250000327825546,0.04569999873638153,0.03840000182390213,0.033399999141693115,-3.7368147,2.314685
Malta,0.15880000591278076,0.14640000462532043,0.1469999998807907,0.1339000016450882,0.1177000030875206,0.14079999923706055,0.15530000627040863,0.14820000529289246,0.19820000231266022,0.1404999941587448,0.14839999377727509,0.10429999977350235,0.11590000241994858,0.1444000005722046,0.13860000669956207,0.13750000298023224,0.14100000262260437,0.12970000505447388,0.15620000660419464,0.14560000598430634,0.15139999985694885,-3.2641182,0.77588016
Luxembourg,0.14659999310970306,0.149399995803833,0.14569999277591705,0.15070000290870667,0.12639999389648438,0.1363999992609024,0.14480000734329224,0.15109999477863312,0.19110000133514404,0.1437000036239624,0.156700000166893,0.10440000146627426,0.11729999631643295,0.13570000231266022,0.13860000669956207,0.13169999420642853,0.13850000500679016,0.1273999959230423,0.16300000250339508,0.15039999783039093,0.15049999952316284,-3.7123013,0.33777532
