country,0,1,2,3,4,5,6,7,8,9,10,11,c1,c2
Austria,0.2451999932527542,0.24269999563694,0.2621000111103058,0.25,0.24449999630451202,0.25189998745918274,0.26330000162124634,0.2401999980211258,0.27079999446868896,0.2232999950647354,0.22220000624656677,0.28369998931884766,64.00075,123.98048
Belgium,0.257999986410141,0.24639999866485596,0.27140000462532043,0.22419999539852142,0.23340000212192535,0.26910001039505005,0.27639999985694885,0.22100000083446503,0.29589998722076416,0.2126999944448471,0.21279999613761902,0.2786000072956085,-25.07684,16.351954
Bulgaria,0.24740000069141388,0.2434999942779541,0.2500999867916107,0.2590999901294708,0.1534000039100647,0.32679998874664307,0.3328999876976013,0.1868000030517578,0.289900004863739,0.1678999960422516,0.1647000014781952,0.3776000142097473,-25.968004,-117.701744
Czechia,0.23999999463558197,0.21279999613761902,0.2345000058412552,0.3127000033855438,0.13330000638961792,0.23729999363422394,0.1736000031232834,0.45579999685287476,0.24469999969005585,0.148499995470047,0.15880000591278076,0.4480000138282776,3.2309186,-144.21121
Cyprus,0.2506999969482422,0.2563999891281128,0.2533000111579895,0.23960000276565552,0.23109999299049377,0.2759999930858612,0.25870001316070557,0.23430000245571136,0.2587999999523163,0.24130000174045563,0.2402999997138977,0.2596000134944916,130.29427,44.19093
Germany,0.22589999437332153,0.32269999384880066,0.23399999737739563,0.21739999949932098,0.12359999865293503,0.5795999765396118,0.17139999568462372,0.12540000677108765,0.30399999022483826,0.20669999718666077,0.20829999446868896,0.2809999883174896,-41.462765,-13.801565
Denmark,0.28029999136924744,0.2685999870300293,0.22349999845027924,0.22759999334812164,0.2628999948501587,0.27219998836517334,0.24480000138282776,0.2199999988079071,0.2761000096797943,0.22669999301433563,0.226500004529953,0.27070000767707825,40.43236,95.26566
Estonia,0.24549999833106995,0.2529999911785126,0.24379999935626984,0.25769999623298645,0.18219999969005585,0.33480000495910645,0.26350000500679016,0.21950000524520874,0.26159998774528503,0.23739999532699585,0.23409999907016754,0.2669000029563904,119.95531,79.29541
Croatia,0.21960000693798065,0.28209999203681946,0.25690001249313354,0.24140000343322754,0.23160000145435333,0.25920000672340393,0.2615000009536743,0.24770000576972961,0.2800000011920929,0.2273000031709671,0.22300000488758087,0.26969999074935913,44.107967,58.986607
Finland,0.25760000944137573,0.24060000479221344,0.2506999969482422,0.25110000371932983,0.2101999968290329,0.2919999957084656,0.2578999996185303,0.23989999294281006,0.30079999566078186,0.2093999981880188,0.20960000157356262,0.2800999879837036,-60.165104,12.515501
France,0.25429999828338623,0.24979999661445618,0.24690000712871552,0.24899999797344208,0.2775999903678894,0.24390000104904175,0.24050000309944153,0.23800000548362732,0.7368999719619751,0.0868000015616417,0.0908999964594841,0.08540000021457672,-166.3704,-55.444138
Malta,0.2402999997138977,0.26109999418258667,0.26190000772476196,0.23680000007152557,0.11420000344514847,0.6100000143051147,0.16359999775886536,0.11209999769926071,0.2671999931335449,0.24070000648498535,0.22630000114440918,0.26589998602867126,90.6645,52.117405
Luxembourg,0.2506999969482422,0.25,0.25440001487731934,0.24490000307559967,0.2257000058889389,0.2888000011444092,0.2678999900817871,0.2176000028848648,0.2888000011444092,0.22390000522136688,0.22830000519752502,0.258899986743927,8.168201,61.563652
Lithuania,0.25119999051094055,0.23980000615119934,0.24740000069141388,0.26159998774528503,0.18960000574588776,0.2953999936580658,0.2703999876976013,0.24469999969005585,0.29670000076293945,0.22550000250339508,0.21789999306201935,0.25999999046325684,-26.320887,70.97642
Latvia,0.257999986410141,0.23260000348091125,0.24729999899864197,0.2621000111103058,0.22360000014305115,0.2484000027179718,0.28760001063346863,0.24040000140666962,0.26330000162124634,0.20469999313354492,0.21299999952316284,0.3190999925136566,33.396675,-61.95299
Italy,0.23250000178813934,0.2799000144004822,0.31679999828338623,0.17090000212192535,0.20600000023841858,0.31630000472068787,0.2854999899864197,0.19220000505447388,0.27489998936653137,0.2289000004529953,0.22450000047683716,0.271699994802475,69.63196,82.78888
Ireland,0.2199999988079071,0.29739999771118164,0.25679999589920044,0.22579999268054962,0.21400000154972076,0.32670000195503235,0.25459998846054077,0.20469999313354492,0.31220000982284546,0.19939999282360077,0.19709999859333038,0.2912999987602234,-74.915634,-32.211998
Hungary,0.1996999979019165,0.18649999797344208,0.4009000062942505,0.21289999783039093,0.08789999783039093,0.1014999970793724,0.7103000283241272,0.10029999911785126,0.3215000033378601,0.1517000049352646,0.20309999585151672,0.3237999975681305,-69.63862,-92.48675
Spain,0.26510000228881836,0.24549999833106995,0.23960000276565552,0.24979999661445618,0.20090000331401825,0.36820000410079956,0.26930001378059387,0.16169999539852142,0.28619998693466187,0.2345000058412552,0.21899999678134918,0.2603999972343445,1.9952185,99.02476
Netherlands,0.2955000102519989,0.22179999947547913,0.23980000615119934,0.24289999902248383,0.26429998874664307,0.2558000087738037,0.24160000681877136,0.23839999735355377,0.3788999915122986,0.18170000612735748,0.18790000677108765,0.2513999938964844,-119.215675,-27.837702
Poland,0.2705000042915344,0.21699999272823334,0.23649999499320984,0.2759000062942505,0.16609999537467957,0.27160000801086426,0.35260000824928284,0.20960000157356262,0.4544999897480011,0.10779999941587448,0.11379999667406082,0.3240000009536743,-131.12459,-70.460915
Portugal,0.2628999948501587,0.24469999969005585,0.2533999979496002,0.23899999260902405,0.17159999907016754,0.358599990606308,0.29809999465942383,0.17180000245571136,0.29249998927116394,0.20880000293254852,0.19750000536441803,0.3012000024318695,-15.199789,-44.499977
