country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,c1,c2
Austria,0.09650000184774399,0.10050000250339508,0.09709999710321426,0.08619999885559082,0.15929999947547913,0.11110000312328339,0.10670000314712524,0.09629999846220016,0.14630000293254852,0.050999999046325684,0.023600000888109207,0.07490000128746033,0.0722000002861023,0.03680000081658363,0.03889999911189079,0.06809999793767929,0.035100001841783524,0.5995000004768372,0.10459999740123749,0.15000000596046448,0.1006999984383583,0.09790000319480896,0.11789999902248383,0.10790000110864639,0.1080000028014183,0.11079999804496765,0.10220000147819519,-2.249456,14.068734
Belgium,0.061799999326467514,0.08640000224113464,0.0568000003695488,0.05350000038743019,0.10700000077486038,0.17599999904632568,0.07680000364780426,0.2199999988079071,0.1615000069141388,0.019200000911951065,0.020099999383091927,0.031599998474121094,0.028599999845027924,0.016200000420212746,0.017999999225139618,0.020800000056624413,0.031199999153614044,0.8144000172615051,0.08780000358819962,0.22179999947547913,0.08460000157356262,0.07829999923706055,0.09510000050067902,0.08780000358819962,0.08540000021457672,0.17299999296665192,0.08630000054836273,6.724975,6.3312826
Bulgaria,0.08479999750852585,0.358599990606308,0.06350000202655792,0.06909999996423721,0.13740000128746033,0.07680000364780426,0.08470000326633453,0.07150000333786011,0.05380000174045563,0.1437000036239624,0.04540000110864639,0.218299999833107,0.15060000121593475,0.0731000006198883,0.0803999975323677,0.1256999969482422,0.06270000338554382,0.10010000318288803,0.0723000019788742,0.4781999886035919,0.0560000017285347,0.05739999935030937,0.08780000358819962,0.06300000101327896,0.06449999660253525,0.07479999959468842,0.04600000008940697,-3.2786252,-27.731972
Czechia,0.17430000007152557,0.1517000049352646,0.0763000026345253,0.08560000360012054,0.1842000037431717,0.08709999918937683,0.08399999886751175,0.08829999715089798,0.06849999725818634,0.633400022983551,0.02810000069439411,0.05220000073313713,0.05869999900460243,0.033399999141693115,0.03869999945163727,0.042399998754262924,0.03840000182390213,0.0746999979019165,0.12600000202655792,0.38769999146461487,0.065700002014637,0.06210000067949295,0.07890000194311142,0.06780000030994415,0.07620000094175339,0.0771000012755394,0.05849999934434891,-1.6624593,-20.391787
Cyprus,0.10750000178813934,0.08619999885559082,0.09520000219345093,0.09200000017881393,0.19820000231266022,0.12139999866485596,0.1103999987244606,0.0949999988079071,0.094200000166893,0.1200999990105629,0.0763000026345253,0.1242000013589859,0.13439999520778656,0.07890000194311142,0.1023000031709671,0.13179999589920044,0.09030000120401382,0.14180000126361847,0.1145000010728836,0.1949000060558319,0.07999999821186066,0.08550000190734863,0.14419999718666077,0.09860000014305115,0.09809999912977219,0.11010000109672546,0.0738999992609024,-1.9140699,7.4264092
Germany,0.0868000015616417,0.09189999848604202,0.0763000026345253,0.0697999969124794,0.23980000615119934,0.1460999995470047,0.10289999842643738,0.09009999781847,0.09619999676942825,0.05530000105500221,0.028999999165534973,0.0803999975323677,0.10100000351667404,0.04769999906420708,0.09669999778270721,0.06469999998807907,0.05299999937415123,0.4722000062465668,0.09759999811649323,0.188400000333786,0.08100000023841858,0.07909999787807465,0.14259999990463257,0.11029999703168869,0.10679999738931656,0.11029999703168869,0.08380000293254852,1.3996419,6.818939
Denmark,0.06769999861717224,0.06970000267028809,0.060600001364946365,0.06270000338554382,0.1216999962925911,0.3871000111103058,0.08449999988079071,0.06830000132322311,0.07769999653100967,0.08070000261068344,0.04659999907016754,0.07720000296831131,0.0754999965429306,0.0560000017285347,0.39309999346733093,0.09510000050067902,0.06610000133514404,0.10970000177621841,0.09009999781847,0.27149999141693115,0.07649999856948853,0.08089999854564667,0.1160999983549118,0.10159999877214432,0.09290000051259995,0.09539999812841415,0.07500000298023224,-3.49069,-5.821176
Estonia,0.09399999678134918,0.1062999963760376,0.08950000256299973,0.09459999948740005,0.17810000479221344,0.12359999865293503,0.12759999930858612,0.10159999877214432,0.08460000157356262,0.07620000094175339,0.04309999942779541,0.08940000087022781,0.24709999561309814,0.05220000073313713,0.08669999986886978,0.20229999721050262,0.05909999832510948,0.14380000531673431,0.08240000158548355,0.33629998564720154,0.0763000026345253,0.08009999990463257,0.08649999648332596,0.08219999819993973,0.08869999647140503,0.0885000005364418,0.07890000194311142,-4.419132,-15.622143
Croatia,0.12489999830722809,0.11400000005960464,0.0934000015258789,0.09640000015497208,0.1858000010251999,0.1071000024676323,0.10869999974966049,0.08889999985694885,0.08079999685287476,0.12610000371932983,0.0340999998152256,0.1160999983549118,0.49880000948905945,0.03180000185966492,0.03449999913573265,0.04580000042915344,0.03700000047683716,0.07580000162124634,0.1151999980211258,0.15950000286102295,0.09589999914169312,0.0982000008225441,0.12809999287128448,0.10509999841451645,0.10400000214576721,0.10379999876022339,0.09030000120401382,0.38661265,11.260063
Finland,0.09260000288486481,0.12950000166893005,0.07900000363588333,0.07739999890327454,0.1777999997138977,0.15230000019073486,0.1200999990105629,0.09849999845027924,0.07280000299215317,0.08900000154972076,0.0689999982714653,0.11659999936819077,0.10140000283718109,0.07119999825954437,0.23319999873638153,0.12049999833106995,0.06920000165700912,0.1298000067472458,0.09070000052452087,0.24969999492168427,0.07590000331401825,0.07840000092983246,0.11010000109672546,0.10999999940395355,0.09480000287294388,0.11479999870061874,0.07569999992847443,-1.6017066,-2.1454258
