country,0,1,2,3,4,5,6,7,c1,c2
austria,0.066600002348423,0.062199998646974564,0.4729999899864197,0.06270000338554382,0.05570000037550926,0.07890000194311142,0.0681999996304512,0.06809999793767929,-7.837543,0.95751107
belgium,0.06859999895095825,0.07720000296831131,0.06459999829530716,0.05490000173449516,0.05689999833703041,0.16459999978542328,0.36809998750686646,0.08380000293254852,-0.33814362,12.12597
croatia,0.10819999873638153,0.10050000250339508,0.10400000214576721,0.11410000175237656,0.10750000178813934,0.10610000044107437,0.10920000076293945,0.11289999634027481,4.913465,-0.15672398
cyprus,0.09380000084638596,0.14139999449253082,0.06379999965429306,0.07840000092983246,0.06120000034570694,0.2989000082015991,0.06449999660253525,0.08349999785423279,12.973357,-8.551336
denmark,0.08399999886751175,0.07349999994039536,0.0706000030040741,0.06629999727010727,0.4648999869823456,0.05000000074505806,0.05339999869465828,0.08910000324249268,17.240864,3.6560805
estonia,0.09920000284910202,0.0966000035405159,0.10559999942779541,0.10869999974966049,0.12880000472068787,0.10109999775886536,0.09399999678134918,0.11670000106096268,7.503544,1.2459042
finland,0.25679999589920044,0.07750000059604645,0.15399999916553497,0.06769999861717224,0.10320000350475311,0.07429999858140945,0.07440000027418137,0.11729999631643295,-2.669898,-8.925661
france,0.09950000047683716,0.08479999750852585,0.07010000199079514,0.0820000022649765,0.09030000120401382,0.08250000327825546,0.29490000009536743,0.1103999987244606,2.0545044,10.822909
germany,0.11069999635219574,0.11389999836683273,0.10890000313520432,0.10909999907016754,0.09459999948740005,0.11010000109672546,0.09380000084638596,0.14589999616146088,3.06604,-2.7943256
greece,0.25589999556541443,0.1306000053882599,0.09309999644756317,0.08910000324249268,0.09929999709129333,0.0763000026345253,0.09279999881982803,0.07419999688863754,-5.233601,-8.229587
hungary,0.09610000252723694,0.08789999783039093,0.066600002348423,0.39739999175071716,0.07590000331401825,0.07829999923706055,0.06549999862909317,0.06560000032186508,6.3221755,-10.128132
ireland,0.1451999992132187,0.0892999991774559,0.1251000016927719,0.08370000123977661,0.09740000218153,0.09430000185966492,0.14980000257492065,0.09849999845027924,0.436366,3.9529858
italy,0.0820000022649765,0.10320000350475311,0.09030000120401382,0.11840000003576279,0.1860000044107437,0.08839999884366989,0.11050000041723251,0.09589999914169312,12.631174,4.94376
latvia,0.06790000200271606,0.1120000034570694,0.08150000125169754,0.07199999690055847,0.08669999986886978,0.07989999651908875,0.06549999862909317,0.0746999979019165,11.250677,-2.9508324
lithuania,0.0966000035405159,0.11089999973773956,0.10000000149011612,0.09669999778270721,0.16429999470710754,0.11869999766349792,0.11029999703168869,0.09969999641180038,9.627826,3.7366436
luxembourg,0.0820000022649765,0.19740000367164612,0.12200000137090683,0.1501999944448471,0.08030000329017639,0.10459999740123749,0.0869000032544136,0.07289999723434448,6.5587215,-5.906962
malta,0.10459999740123749,0.09309999644756317,0.09189999848604202,0.09910000115633011,0.10320000350475311,0.09640000015497208,0.14110000431537628,0.1256999969482422,4.2024913,3.3111882
portugal,0.09290000051259995,0.11089999973773956,0.09319999814033508,0.11389999836683273,0.10419999808073044,0.1120000034570694,0.1695999950170517,0.0966000035405159,4.558711,6.44574
romania,0.03359999880194664,0.7114999890327454,0.03370000049471855,0.039400000125169754,0.03629999980330467,0.0406000018119812,0.035999998450279236,0.033900000154972076,11.7417755,11.474764
slovakia,0.08179999887943268,0.10580000281333923,0.13760000467300415,0.11219999939203262,0.08579999953508377,0.16979999840259552,0.09619999676942825,0.125900000333786,-0.51685286,-2.6822245
slovenia,0.08829999715089798,0.09260000288486481,0.09220000356435776,0.13009999692440033,0.11479999870061874,0.1031000018119812,0.11159999668598175,0.08269999921321869,7.733772,-1.8813884
spain,0.09880000352859497,0.11230000108480453,0.08990000188350677,0.12710000574588776,0.19660000503063202,0.09430000185966492,0.09629999846220016,0.09600000083446503,13.161283,1.8919568
sweden,0.12250000238418579,0.10830000042915344,0.12520000338554382,0.10040000081062317,0.10719999670982361,0.10119999945163727,0.10719999670982361,0.11819999665021896,1.8309419,0.5063855
the_netherlands,0.07890000194311142,0.05130000039935112,0.29670000076293945,0.10989999771118164,0.06300000101327896,0.07370000332593918,0.07999999821186066,0.16670000553131104,-4.8941946,0.33128697
