country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,c1,c2
Austria,0.06849999725818634,0.15410000085830688,0.22100000083446503,0.06520000100135803,0.37560001015663147,0.11569999903440475,0.02759999968111515,0.010700000450015068,0.7696999907493591,0.01850000023841858,0.019999999552965164,0.1535000056028366,0.09700000286102295,0.43810001015663147,0.12110000103712082,0.09459999948740005,0.1535000056028366,0.09570000320672989,-34.089092,-27.851116
Belgium,0.027799999341368675,0.22949999570846558,0.022299999371170998,0.06729999929666519,0.26420000195503235,0.3889000117778778,0.0,0.0,0.013399999588727951,0.011300000362098217,0.0,0.9539999961853027,0.04989999905228615,0.6464999914169312,0.06040000170469284,0.09860000014305115,0.05649999901652336,0.08810000121593475,-0.26573047,-9.3460865
Bulgaria,0.057999998331069946,0.6779000163078308,0.04430000111460686,0.054999999701976776,0.13179999589920044,0.032999999821186066,0.36719998717308044,0.03889999911189079,0.43880000710487366,0.061400000005960464,0.054099999368190765,0.039500001817941666,0.039799999445676804,0.8256999850273132,0.033399999141693115,0.037300001829862595,0.036400001496076584,0.027400000020861626,20.717373,49.48278
Czechia,0.2045000046491623,0.3653999865055084,0.04490000009536743,0.06970000267028809,0.2712000012397766,0.04439999908208847,0.8510000109672546,0.032999999821186066,0.03200000151991844,0.022700000554323196,0.024700000882148743,0.03660000115633011,0.12080000340938568,0.7174000144004822,0.04230000078678131,0.040300000458955765,0.037700001150369644,0.0414000004529953,22.893778,13.633744
Cyprus,0.07199999690055847,0.07190000265836716,0.061900001019239426,0.09520000219345093,0.6215999722480774,0.07739999890327454,0.21969999372959137,0.11389999836683273,0.2248000055551529,0.1996999979019165,0.08860000222921371,0.15330000221729279,0.07029999792575836,0.5181000232696533,0.05570000037550926,0.10379999876022339,0.19419999420642853,0.057999998331069946,-17.937359,-28.860004
Germany,0.041999999433755875,0.07000000029802322,0.04729999974370003,0.040800001472234726,0.7599999904632568,0.039900001138448715,0.07609999924898148,0.0,0.39890000224113464,0.03480000048875809,0.25450000166893005,0.22589999437332153,0.06560000032186508,0.49729999899864197,0.06350000202655792,0.06069999933242798,0.25780001282691956,0.054999999701976776,-23.972874,-41.906757
Denmark,0.045499999076128006,0.06270000338554382,0.03909999877214432,0.03440000116825104,0.6413999795913696,0.1770000010728836,0.18449999392032623,0.04639999940991402,0.13600000739097595,0.04639999940991402,0.23880000412464142,0.3479999899864197,0.05009999871253967,0.699999988079071,0.04740000143647194,0.05380000174045563,0.09730000048875809,0.05139999836683273,-11.474387,8.351989
Estonia,0.06970000267028809,0.15620000660419464,0.06379999965429306,0.15189999341964722,0.4893999993801117,0.06880000233650208,0.2281000018119812,0.035100001841783524,0.12790000438690186,0.3747999966144562,0.04899999871850014,0.1851000040769577,0.05820000171661377,0.6962000131607056,0.05660000070929527,0.07100000232458115,0.051899999380111694,0.06610000133514404,5.767643,1.813211
Croatia,0.16339999437332153,0.15870000422000885,0.06310000270605087,0.06729999929666519,0.4925999939441681,0.05490000173449516,0.9064000248908997,0.01080000028014183,0.026200000196695328,0.02160000056028366,0.0,0.025299999862909317,0.1023000031709671,0.49720001220703125,0.07940000295639038,0.09120000153779984,0.1574999988079071,0.07240000367164612,-26.52202,-32.496456
Finland,0.07429999858140945,0.34130001068115234,0.06340000033378601,0.05700000002980232,0.4072999954223633,0.05660000070929527,0.15399999916553497,0.16220000386238098,0.43369999527931213,0.04580000042915344,0.05620000138878822,0.14810000360012054,0.05849999934434891,0.7166000008583069,0.050200000405311584,0.05350000038743019,0.06440000236034393,0.0568000003695488,0.40582272,16.459116
France,0.04259999841451645,0.17219999432563782,0.04270000010728836,0.12030000239610672,0.5651000142097473,0.057100001722574234,0.06669999659061432,0.03449999913573265,0.24269999563694,0.2937000095844269,0.041999999433755875,0.3203999996185303,0.011800000444054604,0.1420000046491623,0.015200000256299973,0.7842000126838684,0.02250000089406967,0.024299999698996544,-41.43447,-36.42819
Malta,0.05810000002384186,0.09780000150203705,0.042399998754262924,0.08420000225305557,0.6401000022888184,0.07739999890327454,0.2630999982357025,0.093299999833107,0.16599999368190765,0.08060000091791153,0.17800000309944153,0.21889999508857727,0.0364999994635582,0.7264000177383423,0.04490000009536743,0.08449999988079071,0.049300000071525574,0.058400001376867294,8.744606,11.878974
Luxembourg,0.07720000296831131,0.3345000147819519,0.09459999948740005,0.08659999817609787,0.32100000977516174,0.0860000029206276,0.028200000524520874,0.013000000268220901,0.45210000872612,0.03139999881386757,0.020999999716877937,0.4542999863624573,0.07959999889135361,0.5181000232696533,0.09510000050067902,0.09440000355243683,0.13500000536441803,0.07769999653100967,-25.359743,-23.066263
Lithuania,0.06340000033378601,0.2012999951839447,0.04010000079870224,0.3605000078678131,0.3012000024318695,0.03350000083446503,0.05130000039935112,0.0,0.03180000185966492,0.8780999779701233,0.0,0.022199999541044235,0.03200000151991844,0.828499972820282,0.02710000053048134,0.07329999655485153,0.01860000006854534,0.020400000736117363,28.180408,43.57266
Italy,0.0478999987244606,0.1776999980211258,0.13259999454021454,0.06949999928474426,0.5199999809265137,0.052299998700618744,0.04100000113248825,0.027499999850988388,0.7979999780654907,0.07039999961853027,0.02979999966919422,0.0333000011742115,0.05829999968409538,0.6079999804496765,0.06599999964237213,0.07519999891519547,0.14390000700950623,0.04859999939799309,-14.779312,-17.835894
