country,0,1,2,c1,c2
Austria,0.830299973487854,0.09969999641180038,0.07000000029802322,-6.5536165,16.33474
Belgium,0.2639999985694885,0.05429999902844429,0.6816999912261963,16.080032,-17.203495
Bulgaria,0.148499995470047,0.8008999824523926,0.050599999725818634,22.684252,15.483613
Czechia,0.07370000332593918,0.8611000180244446,0.06509999930858612,25.76889,18.377966
Cyprus,0.21070000529289246,0.708899974822998,0.08049999922513962,17.997965,16.11017
Germany,0.15610000491142273,0.24950000643730164,0.5943999886512756,10.901184,-10.143638
Denmark,0.08590000122785568,0.08030000329017639,0.833899974822998,8.593644,-20.906363
Estonia,0.1550000011920929,0.3425999879837036,0.5023000240325928,13.362962,-6.3239064
Croatia,0.05090000107884407,0.9214000105857849,0.027699999511241913,21.731787,20.534733
Finland,0.11509999632835388,0.12559999525547028,0.7592999935150146,7.5804915,-13.946451
France,0.786899983882904,0.048900000751018524,0.16419999301433563,-6.91827,12.3340845
Malta,0.14990000426769257,0.5149999856948853,0.33500000834465027,15.437032,2.6398842
Luxembourg,0.1876000016927719,0.11819999665021896,0.6941999793052673,13.8412075,-13.591569
Lithuania,0.18250000476837158,0.5843999981880188,0.23309999704360962,13.770448,7.2127113
Latvia,0.19020000100135803,0.430400013923645,0.37950000166893005,14.516631,-1.413537
Italy,0.8521999716758728,0.10790000110864639,0.039900001138448715,-10.546949,15.252901
Ireland,0.1031000018119812,0.09350000321865082,0.8033999800682068,12.863513,-20.618105
Hungary,0.28780001401901245,0.5745999813079834,0.13760000467300415,22.577255,9.463832
Greece,0.3449999988079071,0.5192000269889832,0.13580000400543213,21.331543,5.2386537
Spain,0.7796000242233276,0.16179999709129333,0.05860000103712082,-9.234945,19.507515
Netherlands,0.0658000037074089,0.03909999877214432,0.8950999975204468,5.356,-18.047184
Poland,0.2492000013589859,0.5812000036239624,0.1696999967098236,17.871342,7.861704
Portugal,0.8733999729156494,0.0608999989926815,0.065700002014637,-4.766621,19.96514
Romania,0.6829000115394592,0.2732999920845032,0.043800000101327896,-2.451907,15.325959
Sweden,0.13130000233650208,0.1501999944448471,0.718500018119812,10.831603,-16.492651
Slovenia,0.22669999301433563,0.6150000095367432,0.1581999957561493,18.941713,11.641546
Slovakia,0.3100999891757965,0.602400004863739,0.08749999850988388,14.65846,12.353476
