country,0,1,2,3,4,5,6,7,8,c1,c2
Austria,0.21279999613761902,0.45489999651908875,0.33230000734329224,0.06769999861717224,0.7343999743461609,0.19779999554157257,0.5454999804496765,0.2906999886035919,0.16380000114440918,-9.493477,11.049671
Belgium,0.23170000314712524,0.2712000012397766,0.49709999561309814,0.06830000132322311,0.05790000036358833,0.8737999796867371,0.3375000059604645,0.2540000081062317,0.40849998593330383,0.6806876,36.56382
Bulgaria,0.26269999146461487,0.44449999928474426,0.29280000925064087,0.2379000037908554,0.4348999857902527,0.3271999955177307,0.5925999879837036,0.20389999449253082,0.20350000262260437,-4.4676933,3.539795
Czechia,0.26409998536109924,0.5253999829292297,0.21050000190734863,0.2061000019311905,0.6333000063896179,0.16060000658035278,0.8105999827384949,0.09470000118017197,0.09459999948740005,8.870059,-41.231663
Cyprus,0.2184000015258789,0.534500002861023,0.24719999730587006,0.16120000183582306,0.3747999966144562,0.4641000032424927,0.6283000111579895,0.2020999938249588,0.1695999950170517,2.1933076,0.10927487
Germany,0.20329999923706055,0.421999990940094,0.37470000982284546,0.09539999812841415,0.32829999923706055,0.576200008392334,0.649399995803833,0.16740000247955322,0.18320000171661377,-1.3362806,-10.517647
Denmark,0.2809000015258789,0.33869999647140503,0.38040000200271606,0.2402999997138977,0.29499998688697815,0.46470001339912415,0.6452000141143799,0.18440000712871552,0.1703999936580658,-3.100913,-4.591952
Estonia,0.22660000622272491,0.445499986410141,0.3278999924659729,0.2493000030517578,0.38449999690055847,0.3662000000476837,0.7089999914169312,0.16200000047683716,0.1289999932050705,2.1570556,-21.247242
Croatia,0.2597000002861023,0.4487000107765198,0.29159998893737793,0.15539999306201935,0.30250000953674316,0.5421000123023987,0.7387999892234802,0.14640000462532043,0.11490000039339066,1.3107412,-28.54475
Finland,0.2565000057220459,0.3887999951839447,0.3546999990940094,0.19949999451637268,0.3589000105857849,0.4417000114917755,0.48089998960494995,0.2621999979019165,0.25679999589920044,-5.59296,24.925274
France,0.13359999656677246,0.2020999938249588,0.6643000245094299,0.12690000236034393,0.1670999974012375,0.7059999704360962,0.27959999442100525,0.3172999918460846,0.40310001373291016,-11.414507,39.880966
Malta,0.2578999996185303,0.4278999865055084,0.3142000138759613,0.22259999811649323,0.4196000099182129,0.3578000068664551,0.4900999963283539,0.2578999996185303,0.25200000405311584,-5.7936807,18.389612
Luxembourg,0.2522999942302704,0.37209999561309814,0.3756999969482422,0.16580000519752502,0.45809999108314514,0.37610000371932983,0.3970000147819519,0.3183000087738037,0.2847000062465668,-11.6918125,30.977541
Lithuania,0.17679999768733978,0.5680000185966492,0.25519999861717224,0.21819999814033508,0.4397999942302704,0.34200000762939453,0.5730000138282776,0.20919999480247498,0.21780000627040863,-1.0518861,9.022027
Latvia,0.2775999903678894,0.38940000534057617,0.3330000042915344,0.17800000309944153,0.5378999710083008,0.2840999960899353,0.2793000042438507,0.413100004196167,0.3075999915599823,-5.144701,41.51549
Italy,0.14249999821186066,0.6283000111579895,0.22920000553131104,0.19200000166893005,0.25360000133514404,0.5544000267982483,0.7498000264167786,0.1177000030875206,0.13249999284744263,14.235746,-27.913763
Ireland,0.2538999915122986,0.32580000162124634,0.420199990272522,0.17260000109672546,0.3059999942779541,0.521399974822998,0.7354000210762024,0.12219999730587006,0.14239999651908875,7.7168727,-27.610142
Hungary,0.2872999906539917,0.39559999108314514,0.31709998846054077,0.22849999368190765,0.41269999742507935,0.3589000105857849,0.7206000089645386,0.14800000190734863,0.131400004029274,9.305416,-21.273891
Spain,0.13249999284744263,0.4672999978065491,0.4002000093460083,0.07240000367164612,0.17110000550746918,0.7563999891281128,0.4925999939441681,0.21279999613761902,0.2946000099182129,0.18827099,21.72267
Netherlands,0.164900004863739,0.2012999951839447,0.6338000297546387,0.14499999582767487,0.12330000102519989,0.7317000031471252,0.7750999927520752,0.10369999706745148,0.12120000272989273,10.979017,-34.126488
Poland,0.20080000162124634,0.565500020980835,0.2337000072002411,0.2379000037908554,0.6021000146865845,0.1599999964237213,0.7728999853134155,0.14380000531673431,0.08340000361204147,3.504695,-35.713093
Portugal,0.22269999980926514,0.37290000915527344,0.4043999910354614,0.13950000703334808,0.4487000107765198,0.41179999709129333,0.6837000250816345,0.15919999778270721,0.15710000693798065,5.272444,-14.343551
Romania,0.23489999771118164,0.4878000020980835,0.2773999869823456,0.19210000336170197,0.4916999936103821,0.31619998812675476,0.38830000162124634,0.3625999987125397,0.249099999666214,-6.152217,33.229603
Sweden,0.25220000743865967,0.3497999906539917,0.39800000190734863,0.13179999589920044,0.21400000154972076,0.65420001745224,0.4862000048160553,0.2272000014781952,0.2867000102996826,-11.346279,21.869196
Slovenia,0.18780000507831573,0.39480000734329224,0.4174000024795532,0.18700000643730164,0.33629998564720154,0.4767000079154968,0.6468999981880188,0.1662999987602234,0.1868000030517578,4.5154996,-6.4558864
Slovakia,0.3833000063896179,0.36239999532699585,0.25429999828338623,0.2980000078678131,0.335999995470047,0.3659000098705292,0.8439000248908997,0.07970000058412552,0.07639999687671661,16.01463,-40.25734
