country,0,1,2,3,4,5,6,c1,c2
austria,0.09830000251531601,0.07360000163316727,0.07029999792575836,0.14499999582767487,0.08839999884366989,0.09480000287294388,0.4296000003814697,56.15621,-8.880669
belgium,0.6593999862670898,0.05889999866485596,0.06849999725818634,0.0502999983727932,0.05119999870657921,0.05939999967813492,0.052299998700618744,-55.80391,-59.528
croatia,0.13089999556541443,0.12319999933242798,0.12520000338554382,0.19480000436306,0.14630000293254852,0.1266999989748001,0.15299999713897705,22.697268,6.3592052
cyprus,0.09570000320672989,0.06689999997615814,0.16200000047683716,0.06750000268220901,0.3984000086784363,0.11789999902248383,0.09160000085830688,-32.741352,-13.52994
denmark,0.057500001043081284,0.6894000172615051,0.05739999935030937,0.048500001430511475,0.04809999838471413,0.052400000393390656,0.046799998730421066,-36.318855,-69.07284
estonia,0.11150000244379044,0.14390000700950623,0.1177000030875206,0.21439999341964722,0.12479999661445618,0.14489999413490295,0.1428000032901764,20.656616,23.9996
finland,0.1111999973654747,0.304500013589859,0.0828000009059906,0.1412000060081482,0.09489999711513519,0.1298000067472458,0.1354999989271164,-10.836001,14.849514
france,0.23999999463558197,0.1623000055551529,0.10830000042915344,0.133200004696846,0.12110000103712082,0.11469999700784683,0.12030000239610672,-12.515004,-7.2069
germany,0.1306000053882599,0.12630000710487366,0.1331000030040741,0.10080000013113022,0.15279999375343323,0.19089999794960022,0.1656000018119812,40.328472,37.80057
greece,0.09070000052452087,0.11659999936819077,0.1517000049352646,0.10180000215768814,0.2547999918460846,0.19099999964237213,0.0934000015258789,27.682993,61.55568
hungary,0.08309999853372574,0.10400000214576721,0.12330000102519989,0.1378999948501587,0.3718999922275543,0.08299999684095383,0.09679999947547913,-19.32032,-46.33494
ireland,0.0786999985575676,0.08839999884366989,0.08659999817609787,0.07039999961853027,0.07649999856948853,0.08879999816417694,0.5105999708175659,70.194824,-4.2305346
italy,0.11819999665021896,0.1315000057220459,0.1257999986410141,0.14640000462532043,0.14949999749660492,0.1152999997138977,0.21330000460147858,-11.310117,47.351612
latvia,0.08259999752044678,0.08659999817609787,0.12970000505447388,0.4819999933242798,0.07479999959468842,0.07649999856948853,0.06780000030994415,-40.896366,-48.964005
lithuania,0.13670000433921814,0.15469999611377716,0.1386999934911728,0.19290000200271606,0.1168999969959259,0.12399999797344208,0.13609999418258667,4.6264915,8.028088
luxembourg,0.08569999784231186,0.0957999974489212,0.16689999401569366,0.07649999856948853,0.382999986410141,0.09459999948740005,0.09749999642372131,-28.280926,-31.067076
malta,0.12729999423027039,0.11469999700784683,0.10170000046491623,0.11559999734163284,0.12030000239610672,0.11069999635219574,0.30970001220703125,-30.69335,46.649055
portugal,0.1680999994277954,0.10530000180006027,0.13689999282360077,0.1517000049352646,0.14900000393390656,0.1525000035762787,0.1363999992609024,18.058273,41.46424
romania,0.03880000114440918,0.0414000004529953,0.7731000185012817,0.03579999879002571,0.037300001829862595,0.03759999945759773,0.035999998450279236,-52.08431,-78.141975
slovakia,0.1062999963760376,0.11599999666213989,0.12189999967813492,0.15440000593662262,0.09969999641180038,0.2732999920845032,0.12839999794960022,50.993694,58.62674
slovenia,0.09139999747276306,0.13210000097751617,0.11410000175237656,0.33570000529289246,0.11580000072717667,0.0908999964594841,0.11999999731779099,-7.908887,-29.016943
spain,0.1648000031709671,0.20659999549388885,0.14139999449253082,0.1062999963760376,0.13429999351501465,0.1242000013589859,0.12229999899864197,5.5849957,-9.99172
sweden,0.12970000505447388,0.14650000631809235,0.131400004029274,0.1454000025987625,0.1500999927520752,0.1388999968767166,0.15780000388622284,2.8919117,29.59611
the_netherlands,0.1216999962925911,0.0835999995470047,0.05220000073313713,0.10440000146627426,0.07159999758005142,0.4851999878883362,0.0812000036239624,56.03565,77.424614
