country,Social service provision.,local employment activation,Local employment assistance.,Poverty assistance programs,Poverty alleviation programs,c1,c2,u1,u2
austria,0.1897000074386596,0.2004999965429306,0.2035000026226043,0.2037999927997589,0.2025000005960464,83.90086,-89.37889,8.59307,9.354095
belgium,0.2030999958515167,0.2166000008583068,0.1960999965667724,0.1876000016927719,0.196600005030632,30.281706,95.94407,6.6380095,9.8171835
bulgaria,0.1986999958753585,0.1993999928236007,0.1969999969005584,0.1969999969005584,0.2079000025987625,-39.999393,10.166401,13.617859,7.2999516
croatia,0.197500005364418,0.2048999965190887,0.2003999948501587,0.1983000040054321,0.1988999992609024,58.049698,-37.919067,7.734516,9.378728
cyprus,0.1687999963760376,0.1703999936580658,0.2272000014781952,0.2585999965667724,0.1749999970197677,-12.355679,-206.67621,4.9704485,9.599565
denmark,0.1996999979019165,0.1962999999523162,0.1879000067710876,0.1806000024080276,0.2354999929666519,-157.11462,57.823677,15.0051565,5.742927
estonia,0.1976000070571899,0.2029999941587448,0.1965000033378601,0.2055000066757202,0.1973000019788742,56.234837,6.178787,7.6261473,9.855433
finland,0.1949999928474426,0.1894000023603439,0.1976000070571899,0.1921000033617019,0.2259999960660934,-151.87769,103.70618,14.696729,5.9292397
france,0.2087000012397766,0.2129999995231628,0.1773000061511993,0.2164999991655349,0.1844999939203262,131.91045,88.97884,8.693176,10.548558
germany,0.2120999991893768,0.2017000019550323,0.1942999958992004,0.1880999952554702,0.2037999927997589,-95.61697,-14.919499,14.919278,6.6482396
greece,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,1.1201075,-33.86625,5.2909727,10.013058
hungary,0.1953999996185302,0.2090000063180923,0.1931000053882599,0.2065999954938888,0.1959999948740005,96.18176,33.129845,8.762579,10.052161
ireland,0.2028000056743621,0.2010000050067901,0.1878000050783157,0.1877000033855438,0.2206999957561493,-111.18138,71.34316,15.145849,6.2057686
italy,0.19930000603199,0.2067999988794326,0.1960999965667724,0.1970999985933303,0.2006999999284744,12.658881,29.794899,5.7842646,10.266175
latvia,0.2260999977588653,0.1845999956130981,0.1835000067949295,0.2087000012397766,0.1970999985933303,-97.575745,-114.838615,14.553268,6.381979
lithuania,0.2065999954938888,0.1704999953508377,0.1988999992609024,0.2344000041484832,0.1897000074386596,-62.76154,-175.5868,14.057678,7.203348
luxembourg,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322,1.1201075,-33.86625,5.5405436,9.688916
malta,0.1854999959468841,0.2257999926805496,0.1868000030517578,0.179199993610382,0.2225999981164932,-63.943386,139.68346,14.466538,6.891991
portugal,0.19200000166893,0.2128999978303909,0.2048999965190887,0.193900004029274,0.1962999999523162,121.0979,-29.455463,8.428512,10.350663
romania,0.1554999947547912,0.1564999967813491,0.3612000048160553,0.1699000000953674,0.1570000052452087,44.75972,-204.09334,7.250071,9.699516
slovakia,0.2134999930858612,0.2197999954223632,0.1898999959230423,0.1934999972581863,0.1833000034093856,75.371376,123.245255,8.302697,9.716662
slovenia,0.2029999941587448,0.2254000008106231,0.1735000014305114,0.1915999948978424,0.2064000070095062,-8.41026,144.74477,4.9711947,10.187469
spain,0.19930000603199,0.1986999958753585,0.2016000002622604,0.2029000073671341,0.1976000070571899,25.314703,-79.90105,6.456741,10.111762
sweden,0.2098000049591064,0.1967999935150146,0.1926999986171722,0.2001000046730041,0.2006999999284744,-65.33678,-61.273163,14.060982,6.690831
the_netherlands,0.2091999948024749,0.1932000070810318,0.2091999948024749,0.1972000002861023,0.1912000030279159,-12.276724,-119.27633,4.6579514,9.853054
