country,Public system saving,Primary energy use,Public system saving,Primary energy use,Public system saving,Primary energy use,c1,c2,u1,u2
Austria,0.2779000103473663,0.722100019454956,0.7347000241279602,0.2653000056743622,0.2319999933242797,0.7680000066757202,-19.697119,2.1395805,3.5603468,2.1562028
Belgium,0.413100004196167,0.586899995803833,0.9657999873161316,0.0342000015079975,0.1958000063896179,0.8041999936103821,11.3142805,5.705186,6.5584803,10.0840645
Bulgaria,0.3305000066757202,0.6694999933242798,0.8090999722480774,0.1908999979496002,0.2080000042915344,0.7919999957084656,-6.041464,-1.46624,5.246293,4.965552
Czechia,0.3052999973297119,0.6947000026702881,0.83160001039505,0.1684000045061111,0.164900004863739,0.835099995136261,-8.386474,-7.0398684,4.6566367,4.0675554
Cyprus,0.3646000027656555,0.6353999972343445,0.8797000050544739,0.1203000023961067,0.2153999954462051,0.784600019454956,0.7132736,5.0198593,5.005637,9.00277
Germany,0.3562000095844269,0.6438000202178955,0.8705999851226807,0.1293999999761581,0.2831000089645386,0.7168999910354614,2.2684796,9.858305,5.4775476,9.345768
Denmark,0.3353999853134155,0.6646000146865845,0.843500018119812,0.1564999967813491,0.2238000035285949,0.776199996471405,-3.967911,2.858315,5.0664415,6.2127957
Estonia,0.23989999294281,0.7601000070571899,0.7710000276565552,0.2290000021457672,0.2667999863624573,0.7332000136375427,-20.683115,6.554855,3.8609498,1.8566787
Croatia,0.3441999852657318,0.6557999849319458,0.925000011920929,0.0750000029802322,0.2694999873638153,0.7304999828338623,-0.7417272,12.275233,5.2734885,8.430428
Finland,0.3140000104904175,0.6859999895095825,0.7717999815940857,0.2282000035047531,0.3490000069141388,0.6510000228881836,-15.044002,12.164264,3.6480653,2.4981506
France,0.2834999859333038,0.7164999842643738,0.765999972820282,0.2339999973773956,0.1142999976873397,0.885699987411499,-6.135039,-15.50742,4.8150625,4.725047
Malta,0.2872999906539917,0.7127000093460083,0.739799976348877,0.2601999938488006,0.2958000004291534,0.704200029373169,-16.88713,8.10252,4.1317744,2.2045076
Luxembourg,0.3143999874591827,0.6855999827384949,0.8202999830245972,0.1797000020742416,0.1561000049114227,0.8439000248908997,-5.410453,-9.512562,4.976445,5.3439875
Lithuania,0.4684999883174896,0.531499981880188,0.7989000082015991,0.201100006699562,0.3799000084400177,0.6201000213623047,-8.311924,16.131798,4.3458595,4.4191732
Latvia,0.3885000050067901,0.6115000247955322,0.8108999729156494,0.1890999972820282,0.1925999969244003,0.8073999881744385,1.675371,-2.6486876,5.084025,9.547388
Italy,0.2793000042438507,0.7207000255584717,0.8605999946594238,0.1394000053405761,0.1280000060796737,0.871999979019165,-10.643668,-11.325388,4.3230762,3.5060656
Ireland,0.4449999928474426,0.5550000071525574,0.8485000133514404,0.1515000015497207,0.2356999963521957,0.7642999887466431,5.2084246,1.9741821,5.966408,9.520488
Hungary,0.4117999970912933,0.5881999731063843,0.7764999866485596,0.2234999984502792,0.1789000034332275,0.8210999965667725,5.0008984,-5.120647,5.579168,9.814318
Spain,0.3968000113964081,0.6032000184059143,0.9041000008583068,0.0958999991416931,0.1306000053882599,0.8694000244140625,12.121699,-0.8295988,6.088258,10.10039
Netherlands,0.3413000106811523,0.6586999893188477,0.795799970626831,0.2041999995708465,0.1753000020980835,0.8246999979019165,-3.28724,-5.3798575,5.0607276,6.797566
Poland,0.3495000004768371,0.6504999995231628,0.7785999774932861,0.2213999927043914,0.1284999996423721,0.8715000152587891,-1.5491935,-13.012251,5.191175,7.8816547
Portugal,0.3632999956607818,0.6366999745368958,0.8453999757766724,0.1545999944210052,0.1441999971866607,0.8557999730110168,0.6282923,-8.473057,5.5241127,8.871425
Romania,0.3059999942779541,0.6940000057220459,0.7505000233650208,0.2495000064373016,0.23989999294281,0.7601000070571899,-15.968292,2.761841,4.0991664,2.5242898
Sweden,0.2813000082969665,0.7186999917030334,0.8198999762535095,0.1800999939441681,0.2696999907493591,0.7303000092506409,-11.932382,6.3818307,4.068236,3.1267369
Slovenia,0.4372000098228454,0.5627999901771545,0.8996000289916992,0.1004000008106231,0.1274999976158142,0.8725000023841858,14.819239,1.4621614,6.2446537,10.374487
Slovakia,0.324099987745285,0.6758999824523926,0.8877000212669373,0.1123000010848045,0.2202000021934509,0.7797999978065491,-2.6864111,7.339553,5.204171,7.3872485
