,word,topic_id,importance,word_count
30,final,1,0.022015011,1769
60,heat,2,0.016985623,1076
31,target,1,0.015310943,1661
32,primary energy,1,0.015307163,1137
61,electricity,2,0.013478998,1332
62,ktoe,2,0.012285963,605
63,increase,2,0.012242025,1571
0,public,0,0.011059715,1720
64,fuel,2,0.010392599,673
65,gas,2,0.00977287,894
66,final,2,0.009479028,1769
33,increase,1,0.009359923,1571
34,national,1,0.009106571,1418
35,primary,1,0.008863049,637
67,use,2,0.008786984,1663
68,system,2,0.008628007,1639
1,system,0,0.008509159,1639
2,renovation,0,0.008484833,1553
36,use,1,0.008440199,1663
69,transport,2,0.008414783,1368
3,support,0,0.008384363,1295
37,saving,1,0.008361548,1928
4,saving,0,0.008310287,1928
70,heating,2,0.008208443,1020
38,total,1,0.008038803,993
39,period,1,0.007969839,1310
40,transport,1,0.007714495,1368
41,year,1,0.0076741665,1319
71,source,2,0.0075709904,911
42,source,1,0.0075337184,911
43,figure,1,0.0073989565,579
72,exist,2,0.0073642572,853
44,level,1,0.0073073697,1018
45,eu,1,0.007302556,893
5,plan,0,0.007153079,1389
73,total,2,0.0069585773,993
46,directive,1,0.006869556,831
74,include,2,0.0065312413,1426
6,programme,0,0.006526035,983
47,include,1,0.0064266194,1426
75,scenario,2,0.0063518328,656
76,share,2,0.0063296324,455
77,natural gas,2,0.0062784636,582
7,new,0,0.0062488304,1410
48,scenario,1,0.006248396,656
8,investment,0,0.006244651,959
78,year,2,0.0062171724,1319
79,potential,2,0.0060624033,792
80,industry,2,0.006049333,751
9,promote,0,0.005993888,904
49,base,1,0.00599197,715
81,saving,2,0.0059303893,1928
82,development,2,0.0059101647,1014
10,implementation,0,0.0058702696,928
11,service,0,0.00582918,1161
83,cogeneration,2,0.0058208504,409
50,industry,1,0.005813175,751
84,national,2,0.005773408,1418
51,electricity,1,0.005746947,1332
12,fund,0,0.005745441,822
85,high,2,0.0057437825,702
52,new,1,0.005658544,1410
13,project,0,0.0056573013,1016
53,table,1,0.0055888207,556
86,cost,2,0.005585901,794
54,transport sector,1,0.0055750012,501
55,non,1,0.0055555087,610
56,twh,1,0.0055490322,424
14,use,0,0.005545784,1663
15,include,0,0.005399006,1426
57,article,1,0.0053423354,845
87,requirement,2,0.005269062,794
16,implement,0,0.0051773307,857
58,residential,1,0.0051527475,618
59,heating,1,0.005012141,1020
88,result,2,0.004964554,764
89,service,2,0.0048290165,1161
17,policy,0,0.0046638744,968
18,improve,0,0.0045542587,745
19,provide,0,0.004507816,745
20,period,0,0.004480112,1310
21,national,0,0.0044492143,1418
22,target,0,0.004258514,1661
23,year,0,0.0042168796,1319
24,development,0,0.004161981,1014
25,achieve,0,0.0041222232,915
26,reduce,0,0.00411783,804
27,information,0,0.0040994715,657
28,objective,0,0.004079502,753
29,action,0,0.004006835,591
