,topic_num,c_v,u_mass
0,3,0.3673808835650574,-0.2771727342853499
1,4,0.39457198438738805,-0.20623998926469736
2,5,0.378817021314883,-0.23756637139627723
3,6,0.37825266438367744,-0.24911283805538456
4,7,0.37057040534647573,-0.2463282216047775
5,8,0.37588990369195585,-0.22026667440145126
6,9,0.37622934454950735,-0.22847108898770488
