,topic_num,c_v,u_mass
0,3,0.20582629474570355,-0.3962803715075564
1,4,0.21465574099407875,-0.3630887717043082
2,5,0.21530717960298046,-0.3612512138877625
3,6,0.20672629931842065,-0.37471918386660336
4,7,0.2094064970619458,-0.3539723799171122
5,8,0.2123496247798426,-0.36948860093845026
6,9,0.21326626477120947,-0.35870998339324583
