,topic_num,c_v,u_mass
0,3,0.8857620468239245,-0.31134282664018703
1,4,0.8856191966904474,-0.29960571221446075
2,5,0.8857783034456477,-0.3028404360032243
3,6,0.8857506786944848,-0.3039431445220847
4,7,0.8856770893518633,-0.3168209585136258
5,8,0.8857209458125253,-0.33474380538721193
6,9,0.8857212335195861,-0.31808147935497916
