,country,subsection,energy_union_dimension,text_path
360,Poland,National Objectives and Targets,Energy security,/necp_reports/txt_files/Poland_National Objectives and Targets_Energy security.txt
361,Poland,National Objectives and Targets,Internal market,/necp_reports/txt_files/Poland_National Objectives and Targets_Internal market.txt
362,Poland,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Poland_National Objectives and Targets_R&I and Competitiveness.txt
363,Poland,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Poland_Policies and Measures_Decarbonisation.txt
364,Poland,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Poland_Policies and Measures_Energy efficiency.txt
365,Poland,Policies and Measures,Energy security,/necp_reports/txt_files/Poland_Policies and Measures_Energy security.txt
366,Poland,Policies and Measures,Internal market,/necp_reports/txt_files/Poland_Policies and Measures_Internal market.txt
367,Poland,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Poland_Policies and Measures_R&I and Competitiveness.txt
368,Poland,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Poland_Current Situation and Reference Projections_Decarbonisation.txt
369,Poland,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Poland_Current Situation and Reference Projections_Energy efficiency.txt
370,Poland,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Poland_Current Situation and Reference Projections_Energy security.txt
371,Poland,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Poland_Current Situation and Reference Projections_Internal market.txt
372,Poland,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Poland_Current Situation and Reference Projections_R&I and Competitiveness.txt
373,Poland,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Poland_Impact Assessment of Planned Policies and Measures_nan.txt
374,Portugal,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Portugal_Overview and Process for Establishing the Plan_nan.txt
375,Portugal,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Portugal_National Objectives and Targets_Decarbonisation.txt
376,Portugal,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Portugal_National Objectives and Targets_Energy efficiency.txt
377,Portugal,National Objectives and Targets,Energy security,/necp_reports/txt_files/Portugal_National Objectives and Targets_Energy security.txt
378,Portugal,National Objectives and Targets,Internal market,/necp_reports/txt_files/Portugal_National Objectives and Targets_Internal market.txt
379,Portugal,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Portugal_National Objectives and Targets_R&I and Competitiveness.txt
380,Portugal,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Portugal_Policies and Measures_Decarbonisation.txt
381,Portugal,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Portugal_Policies and Measures_Energy efficiency.txt
382,Portugal,Policies and Measures,Energy security,/necp_reports/txt_files/Portugal_Policies and Measures_Energy security.txt
383,Portugal,Policies and Measures,Internal market,/necp_reports/txt_files/Portugal_Policies and Measures_Internal market.txt
384,Portugal,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Portugal_Policies and Measures_R&I and Competitiveness.txt
385,Portugal,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Portugal_Current Situation and Reference Projections_Decarbonisation.txt
386,Portugal,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Portugal_Current Situation and Reference Projections_Energy efficiency.txt
387,Portugal,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Portugal_Current Situation and Reference Projections_Energy security.txt
388,Portugal,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Portugal_Current Situation and Reference Projections_Internal market.txt
389,Portugal,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Portugal_Current Situation and Reference Projections_R&I and Competitiveness.txt
390,Portugal,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Portugal_Impact Assessment of Planned Policies and Measures_nan.txt
391,Romania,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Romania_Overview and Process for Establishing the Plan_nan.txt
392,Romania,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Romania_National Objectives and Targets_Decarbonisation.txt
393,Romania,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Romania_National Objectives and Targets_Energy efficiency.txt
394,Romania,National Objectives and Targets,Energy security,/necp_reports/txt_files/Romania_National Objectives and Targets_Energy security.txt
395,Romania,National Objectives and Targets,Internal market,/necp_reports/txt_files/Romania_National Objectives and Targets_Internal market.txt
396,Romania,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Romania_National Objectives and Targets_R&I and Competitiveness.txt
397,Romania,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Romania_Policies and Measures_Decarbonisation.txt
398,Romania,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Romania_Policies and Measures_Energy efficiency.txt
399,Romania,Policies and Measures,Energy security,/necp_reports/txt_files/Romania_Policies and Measures_Energy security.txt
400,Romania,Policies and Measures,Internal market,/necp_reports/txt_files/Romania_Policies and Measures_Internal market.txt
401,Romania,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Romania_Policies and Measures_R&I and Competitiveness.txt
402,Romania,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Romania_Current Situation and Reference Projections_Decarbonisation.txt
403,Romania,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Romania_Current Situation and Reference Projections_Energy efficiency.txt
404,Romania,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Romania_Current Situation and Reference Projections_Energy security.txt
405,Romania,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Romania_Current Situation and Reference Projections_Internal market.txt
406,Romania,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Romania_Current Situation and Reference Projections_R&I and Competitiveness.txt
407,Romania,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Romania_Impact Assessment of Planned Policies and Measures_nan.txt
408,Sweden,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Sweden_Overview and Process for Establishing the Plan_nan.txt
409,Sweden,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Sweden_National Objectives and Targets_Decarbonisation.txt
410,Sweden,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Sweden_National Objectives and Targets_Energy efficiency.txt
411,Sweden,National Objectives and Targets,Energy security,/necp_reports/txt_files/Sweden_National Objectives and Targets_Energy security.txt
412,Sweden,National Objectives and Targets,Internal market,/necp_reports/txt_files/Sweden_National Objectives and Targets_Internal market.txt
413,Sweden,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Sweden_National Objectives and Targets_R&I and Competitiveness.txt
414,Sweden,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Sweden_Policies and Measures_Decarbonisation.txt
415,Sweden,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Sweden_Policies and Measures_Energy efficiency.txt
416,Sweden,Policies and Measures,Energy security,/necp_reports/txt_files/Sweden_Policies and Measures_Energy security.txt
417,Sweden,Policies and Measures,Internal market,/necp_reports/txt_files/Sweden_Policies and Measures_Internal market.txt
418,Sweden,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Sweden_Policies and Measures_R&I and Competitiveness.txt
419,Sweden,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Sweden_Current Situation and Reference Projections_Decarbonisation.txt
420,Sweden,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Sweden_Current Situation and Reference Projections_Energy efficiency.txt
421,Sweden,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Sweden_Current Situation and Reference Projections_Energy security.txt
422,Sweden,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Sweden_Current Situation and Reference Projections_Internal market.txt
423,Sweden,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Sweden_Current Situation and Reference Projections_R&I and Competitiveness.txt
424,Sweden,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Sweden_Impact Assessment of Planned Policies and Measures_nan.txt
425,Slovenia,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Slovenia_Overview and Process for Establishing the Plan_nan.txt
426,Slovenia,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Slovenia_National Objectives and Targets_Decarbonisation.txt
427,Slovenia,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Slovenia_National Objectives and Targets_Energy efficiency.txt
428,Slovenia,National Objectives and Targets,Energy security,/necp_reports/txt_files/Slovenia_National Objectives and Targets_Energy security.txt
429,Slovenia,National Objectives and Targets,Internal market,/necp_reports/txt_files/Slovenia_National Objectives and Targets_Internal market.txt
430,Slovenia,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Slovenia_National Objectives and Targets_R&I and Competitiveness.txt
431,Slovenia,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Slovenia_Policies and Measures_Decarbonisation.txt
432,Slovenia,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Slovenia_Policies and Measures_Energy efficiency.txt
433,Slovenia,Policies and Measures,Energy security,/necp_reports/txt_files/Slovenia_Policies and Measures_Energy security.txt
434,Slovenia,Policies and Measures,Internal market,/necp_reports/txt_files/Slovenia_Policies and Measures_Internal market.txt
435,Slovenia,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Slovenia_Policies and Measures_R&I and Competitiveness.txt
436,Slovenia,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Slovenia_Current Situation and Reference Projections_Decarbonisation.txt
437,Slovenia,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Slovenia_Current Situation and Reference Projections_Energy efficiency.txt
438,Slovenia,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Slovenia_Current Situation and Reference Projections_Energy security.txt
439,Slovenia,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Slovenia_Current Situation and Reference Projections_Internal market.txt
440,Slovenia,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Slovenia_Current Situation and Reference Projections_R&I and Competitiveness.txt
441,Slovenia,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Slovenia_Impact Assessment of Planned Policies and Measures_nan.txt
442,Slovakia,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Slovakia_Overview and Process for Establishing the Plan_nan.txt
443,Slovakia,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Slovakia_National Objectives and Targets_Decarbonisation.txt
444,Slovakia,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Slovakia_National Objectives and Targets_Energy efficiency.txt
445,Slovakia,National Objectives and Targets,Energy security,/necp_reports/txt_files/Slovakia_National Objectives and Targets_Energy security.txt
446,Slovakia,National Objectives and Targets,Internal market,/necp_reports/txt_files/Slovakia_National Objectives and Targets_Internal market.txt
447,Slovakia,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Slovakia_National Objectives and Targets_R&I and Competitiveness.txt
448,Slovakia,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Slovakia_Policies and Measures_Decarbonisation.txt
449,Slovakia,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Slovakia_Policies and Measures_Energy efficiency.txt
450,Slovakia,Policies and Measures,Energy security,/necp_reports/txt_files/Slovakia_Policies and Measures_Energy security.txt
451,Slovakia,Policies and Measures,Internal market,/necp_reports/txt_files/Slovakia_Policies and Measures_Internal market.txt
452,Slovakia,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Slovakia_Policies and Measures_R&I and Competitiveness.txt
453,Slovakia,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Slovakia_Current Situation and Reference Projections_Decarbonisation.txt
454,Slovakia,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Slovakia_Current Situation and Reference Projections_Energy efficiency.txt
455,Slovakia,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Slovakia_Current Situation and Reference Projections_Energy security.txt
456,Slovakia,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Slovakia_Current Situation and Reference Projections_Internal market.txt
457,Slovakia,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Slovakia_Current Situation and Reference Projections_R&I and Competitiveness.txt
458,Slovakia,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Slovakia_Impact Assessment of Planned Policies and Measures_nan.txt
