,country,subsection,energy_union_dimension,text_path
185,France,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/France_Current Situation and Reference Projections_R&I and Competitiveness.txt
186,France,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/France_Impact Assessment of Planned Policies and Measures_nan.txt
187,Malta,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Malta_Overview and Process for Establishing the Plan_nan.txt
188,Malta,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Malta_National Objectives and Targets_Decarbonisation.txt
189,Malta,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Malta_National Objectives and Targets_Energy efficiency.txt
190,Malta,National Objectives and Targets,Energy security,/necp_reports/txt_files/Malta_National Objectives and Targets_Energy security.txt
191,Malta,National Objectives and Targets,Internal market,/necp_reports/txt_files/Malta_National Objectives and Targets_Internal market.txt
192,Malta,National Objectives and Targets,R&I and Competitiveness,/necp_reports/txt_files/Malta_National Objectives and Targets_R&I and Competitiveness.txt
193,Malta,Policies and Measures,Decarbonisation,/necp_reports/txt_files/Malta_Policies and Measures_Decarbonisation.txt
194,Malta,Policies and Measures,Energy efficiency,/necp_reports/txt_files/Malta_Policies and Measures_Energy efficiency.txt
195,Malta,Policies and Measures,Energy security,/necp_reports/txt_files/Malta_Policies and Measures_Energy security.txt
196,Malta,Policies and Measures,Internal market,/necp_reports/txt_files/Malta_Policies and Measures_Internal market.txt
197,Malta,Policies and Measures,R&I and Competitiveness,/necp_reports/txt_files/Malta_Policies and Measures_R&I and Competitiveness.txt
198,Malta,Current Situation and Reference Projections,Decarbonisation,/necp_reports/txt_files/Malta_Current Situation and Reference Projections_Decarbonisation.txt
199,Malta,Current Situation and Reference Projections,Energy efficiency,/necp_reports/txt_files/Malta_Current Situation and Reference Projections_Energy efficiency.txt
200,Malta,Current Situation and Reference Projections,Energy security,/necp_reports/txt_files/Malta_Current Situation and Reference Projections_Energy security.txt
201,Malta,Current Situation and Reference Projections,Internal market,/necp_reports/txt_files/Malta_Current Situation and Reference Projections_Internal market.txt
202,Malta,Current Situation and Reference Projections,R&I and Competitiveness,/necp_reports/txt_files/Malta_Current Situation and Reference Projections_R&I and Competitiveness.txt
203,Malta,Impact Assessment of Planned Policies and Measures,,/necp_reports/txt_files/Malta_Impact Assessment of Planned Policies and Measures_nan.txt
204,Luxembourg,Overview and Process for Establishing the Plan,,/necp_reports/txt_files/Luxembourg_Overview and Process for Establishing the Plan_nan.txt
205,Luxembourg,National Objectives and Targets,Decarbonisation,/necp_reports/txt_files/Luxembourg_National Objectives and Targets_Decarbonisation.txt
206,Luxembourg,National Objectives and Targets,Energy efficiency,/necp_reports/txt_files/Luxembourg_National Objectives and Targets_Energy efficiency.txt
