country,label
austria,2
belgium,4
bulgaria,2
croatia,2
cyprus,5
denmark,2
estonia,2
finland,4
france,2
germany,3
greece,2
hungary,2
ireland,3
italy,2
latvia,2
lithuania,4
luxembourg,2
malta,3
portugal,2
romania,1
slovakia,2
slovenia,1
spain,2
sweden,2
the_netherlands,3
