country,label
austria,1
belgium,10
bulgaria,3
croatia,2
cyprus,15
denmark,13
estonia,3
finland,3
france,8
germany,5
hungary,11
ireland,6
italy,12
latvia,4
lithuania,16
malta,11
portugal,2
slovakia,1
slovenia,9
spain,2
sweden,7
the_netherlands,14
