country,label
austria,4
belgium,4
bulgaria,2
croatia,4
denmark,5
estonia,4
finland,4
france,2
germany,3
hungary,3
ireland,2
italy,1
latvia,2
malta,1
portugal,4
slovenia,4
spain,4
sweden,4
the_netherlands,5
