country,0,1,c1,c2
austria,0.4700999855995178,0.5299000144004822,-65.736855,58.513577
belgium,0.384799987077713,0.6151999831199646,-94.16223,282.4554
bulgaria,0.515500009059906,0.484499990940094,25.409464,-151.16092
croatia,0.5877000093460083,0.4122999906539917,143.05379,-278.16092
cyprus,0.32179999351501465,0.6782000064849854,-204.52286,286.65894
denmark,0.5169000029563904,0.4830999970436096,96.39344,-149.34796
estonia,0.4880000054836273,0.5120000243186951,-53.384186,-24.545967
finland,0.37540000677108765,0.6245999932289124,-143.72035,312.80814
france,0.5342000126838684,0.4657999873161316,85.85371,-213.04755
germany,0.4399999976158142,0.5600000023841858,-31.602854,205.1526
greece,0.5,0.5,2.6299207,-72.67651
hungary,0.5120999813079834,0.4878999888896942,74.19976,-95.27556
ireland,0.4325999915599823,0.5673999786376953,-94.06255,196.76353
italy,0.5297999978065491,0.4702000021934509,25.273867,-223.48068
latvia,0.49050000309944153,0.5095000267028809,46.284286,-12.648764
lithuania,0.38659998774528503,0.6133999824523926,-146.21141,249.65218
luxembourg,0.5,0.5,2.6299207,-72.67651
malta,0.4381999969482422,0.5618000030517578,-52.26468,154.10793
portugal,0.5623000264167786,0.4377000033855438,85.48451,-284.7143
romania,0.7853000164031982,0.21469999849796295,233.30243,-207.41718
slovakia,0.46700000762939453,0.5329999923706055,-16.754698,89.493645
slovenia,0.6802999973297119,0.3197000026702881,211.06454,-255.13919
spain,0.515500009059906,0.484499990940094,25.409464,-151.16092
sweden,0.4876999855041504,0.5123000144958496,-5.943177,10.883252
the_netherlands,0.4438999891281128,0.5561000108718872,-108.10964,136.36295
