country,label
austria,5
belgium,3
bulgaria,6
croatia,5
denmark,9
estonia,2
finland,4
france,5
germany,1
greece,6
hungary,4
ireland,6
latvia,3
malta,8
portugal,2
slovakia,1
slovenia,10
spain,5
sweden,7
the_netherlands,1
