country,label
austria,4
belgium,6
bulgaria,7
croatia,4
cyprus,5
denmark,4
estonia,2
finland,4
france,3
germany,4
greece,4
hungary,4
ireland,1
italy,4
latvia,5
lithuania,2
luxembourg,2
malta,3
portugal,3
romania,4
slovakia,4
slovenia,4
spain,2
sweden,3
the_netherlands,1
