country,label
austria,1
belgium,12
croatia,5
cyprus,3
denmark,13
estonia,5
finland,10
france,4
germany,8
greece,3
hungary,3
ireland,1
italy,7
latvia,2
lithuania,5
luxembourg,3
malta,1
portugal,6
romania,14
slovakia,9
slovenia,2
spain,4
sweden,6
the_netherlands,11
