country,label
austria,1
belgium,2
croatia,4
cyprus,5
denmark,8
estonia,4
finland,3
france,2
germany,4
greece,3
hungary,7
ireland,4
italy,4
latvia,6
lithuania,4
luxembourg,4
malta,4
portugal,4
romania,9
slovakia,4
slovenia,4
spain,4
sweden,4
the_netherlands,1
