country,Find Job Act.,Support Child Find Job,Support Job Finding
Austria,0.33079999685287476,0.33640000224113464,0.3328000009059906
Belgium,0.32829999923706055,0.33329999446868896,0.3384999930858612
Bulgaria,0.337799996137619,0.32820001244544983,0.33410000801086426
Croatia,0.33230000734329224,0.33309999108314514,0.3346000015735626
Denmark,0.32690000534057617,0.33239999413490295,0.3407000005245209
Estonia,0.33390000462532043,0.3310999870300293,0.33500000834465027
Finland,0.3336000144481659,0.33219999074935913,0.334199994802475
France,0.33329999446868896,0.33329999446868896,0.33329999446868896
Germany,0.3328000009059906,0.33889999985694885,0.32829999923706055
Hungary,0.33169999718666077,0.33079999685287476,0.3375000059604645
Ireland,0.33329999446868896,0.33329999446868896,0.33329999446868896
Italy,0.33329999446868896,0.3391999900341034,0.32749998569488525
Latvia,0.33329999446868896,0.33329999446868896,0.33329999446868896
Malta,0.3382999897003174,0.32850000262260437,0.33320000767707825
Portugal,0.3366999924182892,0.3296000063419342,0.3337000012397766
Slovenia,0.329800009727478,0.33649998903274536,0.3337000012397766
Spain,0.33730000257492065,0.32989999651908875,0.3328999876976013
Sweden,0.3337000012397766,0.33880001306533813,0.32749998569488525
Netherlands,0.33629998564720154,0.3345000147819519,0.32919999957084656
